assetTag,branchCode,name,assetTypeCode,status,currentLocation,condition,isReturnable,quantity,unitOfMeasure,notes,lastSeenAtUtc,createdAtUtc
CLHQ-TRL-0001,CL-HQ,Certification Trailer CLHQ 0001,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0001,,08/26/2026 01:46:31
CLHQ-TRL-0002,CL-HQ,Certification Trailer CLHQ 0002,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0002,,08/26/2026 01:46:31
CLHQ-TRL-0003,CL-HQ,Certification Trailer CLHQ 0003,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0003,,08/26/2026 01:46:31
CLHQ-TRL-0004,CL-HQ,Certification Trailer CLHQ 0004,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0004,,08/26/2026 01:46:31
CLHQ-TRL-0005,CL-HQ,Certification Trailer CLHQ 0005,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0005,,08/26/2026 01:46:31
CLHQ-TRL-0006,CL-HQ,Certification Trailer CLHQ 0006,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0006,,08/26/2026 01:46:31
CLHQ-TRL-0007,CL-HQ,Certification Trailer CLHQ 0007,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0007,,08/26/2026 01:46:31
CLHQ-TRL-0008,CL-HQ,Certification Trailer CLHQ 0008,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0008,,08/26/2026 01:46:31
CLHQ-TRL-0009,CL-HQ,Certification Trailer CLHQ 0009,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0009,,08/26/2026 01:46:31
CLHQ-TRL-0010,CL-HQ,Certification Trailer CLHQ 0010,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0010,,08/26/2026 01:46:31
CLHQ-TRL-0011,CL-HQ,Certification Trailer CLHQ 0011,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0011,,08/26/2026 01:46:31
CLHQ-TRL-0012,CL-HQ,Certification Trailer CLHQ 0012,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0012,,08/26/2026 01:46:31
CLHQ-TRL-0013,CL-HQ,Certification Trailer CLHQ 0013,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0013,,08/26/2026 01:46:31
CLHQ-TRL-0014,CL-HQ,Certification Trailer CLHQ 0014,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0014,,08/26/2026 01:46:31
CLHQ-TRL-0015,CL-HQ,Certification Trailer CLHQ 0015,TRAILER,Available,Central Operations HQ,Good,True,1.00,Each,CERT-LARGE-20260825 branch trailer 0015,,08/26/2026 01:46:31
