deviceSerial,imei,deviceCategory,deviceModel,provider,firmwareVersion,status,deviceState,branchCode,vehicleCode,driverName,lastSeenAt,revokedAt,createdAt
CLHQ-DEV-0001,990000001000001,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0002,990000001000002,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0003,990000001000003,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0004,990000001000004,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0005,990000001000005,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0006,990000001000006,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0007,990000001000007,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0008,990000001000008,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0009,990000001000009,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0010,990000001000010,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0011,990000001000011,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
CLHQ-DEV-0012,990000001000012,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,Active,Provisioned,CL-HQ,,,,,08/26/2026 01:18:12
