"serialNumber","vehicleCode","locationLabel","positionSource","positionAccuracy","deviceFixAt","gatewayReceivedAt","dataFreshnessStatus","routingReadiness"
"CLHQ-DEV-0001","CLHQ-V-0002","35.2194, -80.8354","Native Eld","8 m","2026-08-28T07:49:46Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0002","CLHQ-V-0001","35.2201, -80.8361","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0003","CLHQ-V-0003","35.2208, -80.8368","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0004","CLHQ-V-0004","35.2215, -80.8375","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0005","CLHQ-V-0005","35.2222, -80.8382","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0006","CLHQ-V-0006","35.2229, -80.8389","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0007","CLHQ-V-0007","35.2236, -80.8396","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0008","CLHQ-V-0008","35.2243, -80.8403","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0009","CLHQ-V-0009","35.225, -80.841","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0010","CLHQ-V-0010","35.2257, -80.8417","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0011","CLHQ-V-0011","35.2264, -80.8424","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0012","CLHQ-V-0012","35.2271, -80.8431","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0013","CLHQ-V-0013","35.2278, -80.8438","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0014","CLHQ-V-0014","35.2285, -80.8445","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0015","CLHQ-V-0015","35.2292, -80.8452","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0016","CLHQ-V-0016","35.2299, -80.8459","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
"CLHQ-DEV-0017","CLHQ-V-0017","35.2306, -80.8466","Native Eld","8 m","2026-08-28T07:43:41Z","—","Stale","Blocked — position is not current"
