"serialNumber","vehicleCode","deviceName","protocolType","troubleCodes","engineStatus","odometer","fuelLevel","batteryVoltage","lastEngineDataAt","dataFreshnessStatus"
"CLHQ-DEV-0001","CLHQ-V-0002","Certification GPS-500","GPS","","Moving","79612.5","71.5","13.8","2026-08-28T07:49:46Z","Stale"
"CLHQ-DEV-0002","CLHQ-V-0001","Certification GPS-500","GPS","","Moving","40030.5","71","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0003","CLHQ-V-0003","Certification GPS-500","GPS","","Moving","40045.8","70.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0004","CLHQ-V-0004","Certification GPS-500","GPS","","Moving","40061","70","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0005","CLHQ-V-0005","Certification GPS-500","GPS","","Moving","40076.2","69.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0006","CLHQ-V-0006","Certification GPS-500","GPS","","Moving","40091.5","69","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0007","CLHQ-V-0007","Certification GPS-500","GPS","","Moving","40106.8","68.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0008","CLHQ-V-0008","Certification GPS-500","GPS","","Moving","40122","68","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0009","CLHQ-V-0009","Certification GPS-500","GPS","","Moving","40137.2","67.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0010","CLHQ-V-0010","Certification GPS-500","GPS","","Moving","40152.5","67","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0011","CLHQ-V-0011","Certification GPS-500","GPS","","Moving","40167.8","66.5","13.8","2026-08-28T07:43:41Z","Stale"
"CLHQ-DEV-0012","CLHQ-V-0012","Certification GPS-500","GPS","","Moving","40183","66","13.8","2026-08-28T07:43:41Z","Stale"
