assetTag,branchCode,name,assetTypeCode,status,currentLocation,condition,isReturnable,quantity,unitOfMeasure,notes
CLHQ-TRL-0001,CL-HQ,Certification Trailer CLHQ 0001,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0001
CLHQ-TRL-0002,CL-HQ,Certification Trailer CLHQ 0002,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0002
CLHQ-TRL-0003,CL-HQ,Certification Trailer CLHQ 0003,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0003
CLHQ-TRL-0004,CL-HQ,Certification Trailer CLHQ 0004,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0004
CLHQ-TRL-0005,CL-HQ,Certification Trailer CLHQ 0005,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0005
CLHQ-TRL-0006,CL-HQ,Certification Trailer CLHQ 0006,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0006
CLHQ-TRL-0007,CL-HQ,Certification Trailer CLHQ 0007,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0007
CLHQ-TRL-0008,CL-HQ,Certification Trailer CLHQ 0008,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0008
CLHQ-TRL-0009,CL-HQ,Certification Trailer CLHQ 0009,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0009
CLHQ-TRL-0010,CL-HQ,Certification Trailer CLHQ 0010,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0010
CLHQ-TRL-0011,CL-HQ,Certification Trailer CLHQ 0011,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0011
CLHQ-TRL-0012,CL-HQ,Certification Trailer CLHQ 0012,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0012
CLHQ-TRL-0013,CL-HQ,Certification Trailer CLHQ 0013,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0013
CLHQ-TRL-0014,CL-HQ,Certification Trailer CLHQ 0014,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0014
CLHQ-TRL-0015,CL-HQ,Certification Trailer CLHQ 0015,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0015
CLHQ-TRL-0016,CL-HQ,Certification Trailer CLHQ 0016,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0016
CLHQ-TRL-0017,CL-HQ,Certification Trailer CLHQ 0017,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0017
CLHQ-TRL-0018,CL-HQ,Certification Trailer CLHQ 0018,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0018
CLHQ-TRL-0019,CL-HQ,Certification Trailer CLHQ 0019,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0019
CLHQ-TRL-0020,CL-HQ,Certification Trailer CLHQ 0020,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0020
CLHQ-TRL-0021,CL-HQ,Certification Trailer CLHQ 0021,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0021
CLHQ-TRL-0022,CL-HQ,Certification Trailer CLHQ 0022,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0022
CLHQ-TRL-0023,CL-HQ,Certification Trailer CLHQ 0023,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0023
CLHQ-TRL-0024,CL-HQ,Certification Trailer CLHQ 0024,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0024
CLHQ-TRL-0025,CL-HQ,Certification Trailer CLHQ 0025,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0025
CLHQ-TRL-0026,CL-HQ,Certification Trailer CLHQ 0026,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0026
CLHQ-TRL-0027,CL-HQ,Certification Trailer CLHQ 0027,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0027
CLHQ-TRL-0028,CL-HQ,Certification Trailer CLHQ 0028,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0028
CLHQ-TRL-0029,CL-HQ,Certification Trailer CLHQ 0029,TRAILER,Available,Central Operations HQ,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0029
