assetTag,branchCode,name,assetTypeCode,status,currentLocation,condition,isReturnable,quantity,unitOfMeasure,notes
MWYARD-TRL-0001,MW-YARD,Certification Trailer MWYARD 0001,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0001
MWYARD-TRL-0002,MW-YARD,Certification Trailer MWYARD 0002,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0002
MWYARD-TRL-0003,MW-YARD,Certification Trailer MWYARD 0003,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0003
MWYARD-TRL-0004,MW-YARD,Certification Trailer MWYARD 0004,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0004
MWYARD-TRL-0005,MW-YARD,Certification Trailer MWYARD 0005,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0005
MWYARD-TRL-0006,MW-YARD,Certification Trailer MWYARD 0006,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0006
MWYARD-TRL-0007,MW-YARD,Certification Trailer MWYARD 0007,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0007
MWYARD-TRL-0008,MW-YARD,Certification Trailer MWYARD 0008,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0008
MWYARD-TRL-0009,MW-YARD,Certification Trailer MWYARD 0009,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0009
MWYARD-TRL-0010,MW-YARD,Certification Trailer MWYARD 0010,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0010
MWYARD-TRL-0011,MW-YARD,Certification Trailer MWYARD 0011,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0011
MWYARD-TRL-0012,MW-YARD,Certification Trailer MWYARD 0012,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0012
MWYARD-TRL-0013,MW-YARD,Certification Trailer MWYARD 0013,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0013
MWYARD-TRL-0014,MW-YARD,Certification Trailer MWYARD 0014,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0014
MWYARD-TRL-0015,MW-YARD,Certification Trailer MWYARD 0015,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0015
MWYARD-TRL-0016,MW-YARD,Certification Trailer MWYARD 0016,TRAILER,Available,Midwest Equipment Yard,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0016
