assetTag,branchCode,name,assetTypeCode,status,currentLocation,condition,isReturnable,quantity,unitOfMeasure,notes
NEHUB-TRL-0001,NE-HUB,Certification Trailer NEHUB 0001,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0001
NEHUB-TRL-0002,NE-HUB,Certification Trailer NEHUB 0002,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0002
NEHUB-TRL-0003,NE-HUB,Certification Trailer NEHUB 0003,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0003
NEHUB-TRL-0004,NE-HUB,Certification Trailer NEHUB 0004,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0004
NEHUB-TRL-0005,NE-HUB,Certification Trailer NEHUB 0005,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0005
NEHUB-TRL-0006,NE-HUB,Certification Trailer NEHUB 0006,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0006
NEHUB-TRL-0007,NE-HUB,Certification Trailer NEHUB 0007,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0007
NEHUB-TRL-0008,NE-HUB,Certification Trailer NEHUB 0008,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0008
NEHUB-TRL-0009,NE-HUB,Certification Trailer NEHUB 0009,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0009
NEHUB-TRL-0010,NE-HUB,Certification Trailer NEHUB 0010,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0010
NEHUB-TRL-0011,NE-HUB,Certification Trailer NEHUB 0011,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0011
NEHUB-TRL-0012,NE-HUB,Certification Trailer NEHUB 0012,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0012
NEHUB-TRL-0013,NE-HUB,Certification Trailer NEHUB 0013,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0013
NEHUB-TRL-0014,NE-HUB,Certification Trailer NEHUB 0014,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0014
NEHUB-TRL-0015,NE-HUB,Certification Trailer NEHUB 0015,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0015
NEHUB-TRL-0016,NE-HUB,Certification Trailer NEHUB 0016,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0016
NEHUB-TRL-0017,NE-HUB,Certification Trailer NEHUB 0017,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0017
NEHUB-TRL-0018,NE-HUB,Certification Trailer NEHUB 0018,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0018
NEHUB-TRL-0019,NE-HUB,Certification Trailer NEHUB 0019,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0019
NEHUB-TRL-0020,NE-HUB,Certification Trailer NEHUB 0020,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0020
NEHUB-TRL-0021,NE-HUB,Certification Trailer NEHUB 0021,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0021
NEHUB-TRL-0022,NE-HUB,Certification Trailer NEHUB 0022,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0022
NEHUB-TRL-0023,NE-HUB,Certification Trailer NEHUB 0023,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0023
NEHUB-TRL-0024,NE-HUB,Certification Trailer NEHUB 0024,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0024
NEHUB-TRL-0025,NE-HUB,Certification Trailer NEHUB 0025,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0025
NEHUB-TRL-0026,NE-HUB,Certification Trailer NEHUB 0026,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0026
NEHUB-TRL-0027,NE-HUB,Certification Trailer NEHUB 0027,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0027
NEHUB-TRL-0028,NE-HUB,Certification Trailer NEHUB 0028,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0028
NEHUB-TRL-0029,NE-HUB,Certification Trailer NEHUB 0029,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0029
NEHUB-TRL-0030,NE-HUB,Certification Trailer NEHUB 0030,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0030
NEHUB-TRL-0031,NE-HUB,Certification Trailer NEHUB 0031,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0031
NEHUB-TRL-0032,NE-HUB,Certification Trailer NEHUB 0032,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0032
NEHUB-TRL-0033,NE-HUB,Certification Trailer NEHUB 0033,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0033
NEHUB-TRL-0034,NE-HUB,Certification Trailer NEHUB 0034,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0034
NEHUB-TRL-0035,NE-HUB,Certification Trailer NEHUB 0035,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0035
NEHUB-TRL-0036,NE-HUB,Certification Trailer NEHUB 0036,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0036
NEHUB-TRL-0037,NE-HUB,Certification Trailer NEHUB 0037,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0037
NEHUB-TRL-0038,NE-HUB,Certification Trailer NEHUB 0038,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0038
NEHUB-TRL-0039,NE-HUB,Certification Trailer NEHUB 0039,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0039
NEHUB-TRL-0040,NE-HUB,Certification Trailer NEHUB 0040,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0040
NEHUB-TRL-0041,NE-HUB,Certification Trailer NEHUB 0041,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0041
NEHUB-TRL-0042,NE-HUB,Certification Trailer NEHUB 0042,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0042
NEHUB-TRL-0043,NE-HUB,Certification Trailer NEHUB 0043,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0043
NEHUB-TRL-0044,NE-HUB,Certification Trailer NEHUB 0044,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0044
NEHUB-TRL-0045,NE-HUB,Certification Trailer NEHUB 0045,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0045
NEHUB-TRL-0046,NE-HUB,Certification Trailer NEHUB 0046,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0046
NEHUB-TRL-0047,NE-HUB,Certification Trailer NEHUB 0047,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0047
NEHUB-TRL-0048,NE-HUB,Certification Trailer NEHUB 0048,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0048
NEHUB-TRL-0049,NE-HUB,Certification Trailer NEHUB 0049,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0049
NEHUB-TRL-0050,NE-HUB,Certification Trailer NEHUB 0050,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0050
NEHUB-TRL-0051,NE-HUB,Certification Trailer NEHUB 0051,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0051
NEHUB-TRL-0052,NE-HUB,Certification Trailer NEHUB 0052,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0052
NEHUB-TRL-0053,NE-HUB,Certification Trailer NEHUB 0053,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0053
NEHUB-TRL-0054,NE-HUB,Certification Trailer NEHUB 0054,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0054
NEHUB-TRL-0055,NE-HUB,Certification Trailer NEHUB 0055,TRAILER,Available,Northeast Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0055
