assetTag,branchCode,name,assetTypeCode,status,currentLocation,condition,isReturnable,quantity,unitOfMeasure,notes
SEDEPOT-TRL-0001,SE-DEPOT,Certification Trailer SEDEPOT 0001,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0001
SEDEPOT-TRL-0002,SE-DEPOT,Certification Trailer SEDEPOT 0002,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0002
SEDEPOT-TRL-0003,SE-DEPOT,Certification Trailer SEDEPOT 0003,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0003
SEDEPOT-TRL-0004,SE-DEPOT,Certification Trailer SEDEPOT 0004,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0004
SEDEPOT-TRL-0005,SE-DEPOT,Certification Trailer SEDEPOT 0005,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0005
SEDEPOT-TRL-0006,SE-DEPOT,Certification Trailer SEDEPOT 0006,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0006
SEDEPOT-TRL-0007,SE-DEPOT,Certification Trailer SEDEPOT 0007,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0007
SEDEPOT-TRL-0008,SE-DEPOT,Certification Trailer SEDEPOT 0008,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0008
SEDEPOT-TRL-0009,SE-DEPOT,Certification Trailer SEDEPOT 0009,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0009
SEDEPOT-TRL-0010,SE-DEPOT,Certification Trailer SEDEPOT 0010,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0010
SEDEPOT-TRL-0011,SE-DEPOT,Certification Trailer SEDEPOT 0011,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0011
SEDEPOT-TRL-0012,SE-DEPOT,Certification Trailer SEDEPOT 0012,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0012
SEDEPOT-TRL-0013,SE-DEPOT,Certification Trailer SEDEPOT 0013,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0013
SEDEPOT-TRL-0014,SE-DEPOT,Certification Trailer SEDEPOT 0014,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0014
SEDEPOT-TRL-0015,SE-DEPOT,Certification Trailer SEDEPOT 0015,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0015
SEDEPOT-TRL-0016,SE-DEPOT,Certification Trailer SEDEPOT 0016,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0016
SEDEPOT-TRL-0017,SE-DEPOT,Certification Trailer SEDEPOT 0017,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0017
SEDEPOT-TRL-0018,SE-DEPOT,Certification Trailer SEDEPOT 0018,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0018
SEDEPOT-TRL-0019,SE-DEPOT,Certification Trailer SEDEPOT 0019,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0019
SEDEPOT-TRL-0020,SE-DEPOT,Certification Trailer SEDEPOT 0020,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0020
SEDEPOT-TRL-0021,SE-DEPOT,Certification Trailer SEDEPOT 0021,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0021
SEDEPOT-TRL-0022,SE-DEPOT,Certification Trailer SEDEPOT 0022,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0022
SEDEPOT-TRL-0023,SE-DEPOT,Certification Trailer SEDEPOT 0023,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0023
SEDEPOT-TRL-0024,SE-DEPOT,Certification Trailer SEDEPOT 0024,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0024
SEDEPOT-TRL-0025,SE-DEPOT,Certification Trailer SEDEPOT 0025,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0025
SEDEPOT-TRL-0026,SE-DEPOT,Certification Trailer SEDEPOT 0026,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0026
SEDEPOT-TRL-0027,SE-DEPOT,Certification Trailer SEDEPOT 0027,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0027
SEDEPOT-TRL-0028,SE-DEPOT,Certification Trailer SEDEPOT 0028,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0028
SEDEPOT-TRL-0029,SE-DEPOT,Certification Trailer SEDEPOT 0029,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0029
SEDEPOT-TRL-0030,SE-DEPOT,Certification Trailer SEDEPOT 0030,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0030
SEDEPOT-TRL-0031,SE-DEPOT,Certification Trailer SEDEPOT 0031,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0031
SEDEPOT-TRL-0032,SE-DEPOT,Certification Trailer SEDEPOT 0032,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0032
SEDEPOT-TRL-0033,SE-DEPOT,Certification Trailer SEDEPOT 0033,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0033
SEDEPOT-TRL-0034,SE-DEPOT,Certification Trailer SEDEPOT 0034,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0034
SEDEPOT-TRL-0035,SE-DEPOT,Certification Trailer SEDEPOT 0035,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0035
SEDEPOT-TRL-0036,SE-DEPOT,Certification Trailer SEDEPOT 0036,TRAILER,Available,Southeast Service Depot,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0036
