assetTag,branchCode,name,assetTypeCode,status,currentLocation,condition,isReturnable,quantity,unitOfMeasure,notes
WESTHUB-TRL-0001,WEST-HUB,Certification Trailer WESTHUB 0001,TRAILER,Available,Western Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0001
WESTHUB-TRL-0002,WEST-HUB,Certification Trailer WESTHUB 0002,TRAILER,Available,Western Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0002
WESTHUB-TRL-0003,WEST-HUB,Certification Trailer WESTHUB 0003,TRAILER,Available,Western Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0003
WESTHUB-TRL-0004,WEST-HUB,Certification Trailer WESTHUB 0004,TRAILER,Available,Western Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0004
WESTHUB-TRL-0005,WEST-HUB,Certification Trailer WESTHUB 0005,TRAILER,Available,Western Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0005
WESTHUB-TRL-0006,WEST-HUB,Certification Trailer WESTHUB 0006,TRAILER,Available,Western Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0006
WESTHUB-TRL-0007,WEST-HUB,Certification Trailer WESTHUB 0007,TRAILER,Available,Western Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0007
WESTHUB-TRL-0008,WEST-HUB,Certification Trailer WESTHUB 0008,TRAILER,Available,Western Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0008
WESTHUB-TRL-0009,WEST-HUB,Certification Trailer WESTHUB 0009,TRAILER,Available,Western Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0009
WESTHUB-TRL-0010,WEST-HUB,Certification Trailer WESTHUB 0010,TRAILER,Available,Western Fleet Hub,Good,TRUE,1,Each,CERT-LARGE-20260825 branch trailer 0010
