deviceSerial,branchCode,imei,deviceCategory,deviceModel,provider,firmwareVersion,notes
CLHQ-DEV-0001,CL-HQ,990000001000001,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 CL-HQ inventory 0001
CLHQ-DEV-0002,CL-HQ,990000001000002,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 CL-HQ inventory 0002
CLHQ-DEV-0003,CL-HQ,990000001000003,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 CL-HQ inventory 0003
CLHQ-DEV-0004,CL-HQ,990000001000004,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 CL-HQ inventory 0004
CLHQ-DEV-0005,CL-HQ,990000001000005,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 CL-HQ inventory 0005
CLHQ-DEV-0006,CL-HQ,990000001000006,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 CL-HQ inventory 0006
CLHQ-DEV-0007,CL-HQ,990000001000007,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 CL-HQ inventory 0007
CLHQ-DEV-0008,CL-HQ,990000001000008,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 CL-HQ inventory 0008
CLHQ-DEV-0009,CL-HQ,990000001000009,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 CL-HQ inventory 0009
CLHQ-DEV-0010,CL-HQ,990000001000010,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 CL-HQ inventory 0010
CLHQ-DEV-0011,CL-HQ,990000001000011,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 CL-HQ inventory 0011
CLHQ-DEV-0012,CL-HQ,990000001000012,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 CL-HQ inventory 0012
CLHQ-DEV-0013,CL-HQ,990000001000013,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 CL-HQ inventory 0013
CLHQ-DEV-0014,CL-HQ,990000001000014,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 CL-HQ inventory 0014
CLHQ-DEV-0015,CL-HQ,990000001000015,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 CL-HQ inventory 0015
CLHQ-DEV-0016,CL-HQ,990000001000016,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 CL-HQ inventory 0016
CLHQ-DEV-0017,CL-HQ,990000001000017,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 CL-HQ inventory 0017
CLHQ-DEV-0018,CL-HQ,990000001000018,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 CL-HQ inventory 0018
CLHQ-DEV-0019,CL-HQ,990000001000019,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 CL-HQ inventory 0019
CLHQ-DEV-0020,CL-HQ,990000001000020,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 CL-HQ inventory 0020
CLHQ-DEV-0021,CL-HQ,990000001000021,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 CL-HQ inventory 0021
CLHQ-DEV-0022,CL-HQ,990000001000022,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 CL-HQ inventory 0022
CLHQ-DEV-0023,CL-HQ,990000001000023,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 CL-HQ inventory 0023
CLHQ-DEV-0024,CL-HQ,990000001000024,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 CL-HQ inventory 0024
CLHQ-DEV-0025,CL-HQ,990000001000025,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 CL-HQ inventory 0025
CLHQ-DEV-0026,CL-HQ,990000001000026,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 CL-HQ inventory 0026
CLHQ-DEV-0027,CL-HQ,990000001000027,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 CL-HQ inventory 0027
CLHQ-DEV-0028,CL-HQ,990000001000028,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 CL-HQ inventory 0028
