deviceSerial,branchCode,imei,deviceCategory,deviceModel,provider,firmwareVersion,notes
MWYARD-DEV-0001,MW-YARD,990000001000661,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 MW-YARD inventory 0001
MWYARD-DEV-0002,MW-YARD,990000001000662,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 MW-YARD inventory 0002
MWYARD-DEV-0003,MW-YARD,990000001000663,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 MW-YARD inventory 0003
MWYARD-DEV-0004,MW-YARD,990000001000664,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 MW-YARD inventory 0004
MWYARD-DEV-0005,MW-YARD,990000001000665,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 MW-YARD inventory 0005
MWYARD-DEV-0006,MW-YARD,990000001000666,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 MW-YARD inventory 0006
MWYARD-DEV-0007,MW-YARD,990000001000667,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 MW-YARD inventory 0007
MWYARD-DEV-0008,MW-YARD,990000001000668,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 MW-YARD inventory 0008
MWYARD-DEV-0009,MW-YARD,990000001000669,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 MW-YARD inventory 0009
MWYARD-DEV-0010,MW-YARD,990000001000670,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 MW-YARD inventory 0010
MWYARD-DEV-0011,MW-YARD,990000001000671,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 MW-YARD inventory 0011
MWYARD-DEV-0012,MW-YARD,990000001000672,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 MW-YARD inventory 0012
MWYARD-DEV-0013,MW-YARD,990000001000673,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 MW-YARD inventory 0013
MWYARD-DEV-0014,MW-YARD,990000001000674,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 MW-YARD inventory 0014
MWYARD-DEV-0015,MW-YARD,990000001000675,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 MW-YARD inventory 0015
MWYARD-DEV-0016,MW-YARD,990000001000676,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 MW-YARD inventory 0016
MWYARD-DEV-0017,MW-YARD,990000001000677,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 MW-YARD inventory 0017
MWYARD-DEV-0018,MW-YARD,990000001000678,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 MW-YARD inventory 0018
