deviceSerial,branchCode,imei,deviceCategory,deviceModel,provider,firmwareVersion,notes
NEHUB-DEV-0001,NE-HUB,990000001000221,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 NE-HUB inventory 0001
NEHUB-DEV-0002,NE-HUB,990000001000222,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 NE-HUB inventory 0002
NEHUB-DEV-0003,NE-HUB,990000001000223,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 NE-HUB inventory 0003
NEHUB-DEV-0004,NE-HUB,990000001000224,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 NE-HUB inventory 0004
NEHUB-DEV-0005,NE-HUB,990000001000225,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 NE-HUB inventory 0005
NEHUB-DEV-0006,NE-HUB,990000001000226,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 NE-HUB inventory 0006
NEHUB-DEV-0007,NE-HUB,990000001000227,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 NE-HUB inventory 0007
NEHUB-DEV-0008,NE-HUB,990000001000228,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 NE-HUB inventory 0008
NEHUB-DEV-0009,NE-HUB,990000001000229,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 NE-HUB inventory 0009
NEHUB-DEV-0010,NE-HUB,990000001000230,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 NE-HUB inventory 0010
NEHUB-DEV-0011,NE-HUB,990000001000231,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 NE-HUB inventory 0011
NEHUB-DEV-0012,NE-HUB,990000001000232,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 NE-HUB inventory 0012
NEHUB-DEV-0013,NE-HUB,990000001000233,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 NE-HUB inventory 0013
NEHUB-DEV-0014,NE-HUB,990000001000234,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 NE-HUB inventory 0014
NEHUB-DEV-0015,NE-HUB,990000001000235,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 NE-HUB inventory 0015
NEHUB-DEV-0016,NE-HUB,990000001000236,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 NE-HUB inventory 0016
NEHUB-DEV-0017,NE-HUB,990000001000237,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 NE-HUB inventory 0017
NEHUB-DEV-0018,NE-HUB,990000001000238,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 NE-HUB inventory 0018
NEHUB-DEV-0019,NE-HUB,990000001000239,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 NE-HUB inventory 0019
NEHUB-DEV-0020,NE-HUB,990000001000240,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 NE-HUB inventory 0020
NEHUB-DEV-0021,NE-HUB,990000001000241,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 NE-HUB inventory 0021
NEHUB-DEV-0022,NE-HUB,990000001000242,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 NE-HUB inventory 0022
NEHUB-DEV-0023,NE-HUB,990000001000243,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 NE-HUB inventory 0023
NEHUB-DEV-0024,NE-HUB,990000001000244,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 NE-HUB inventory 0024
NEHUB-DEV-0025,NE-HUB,990000001000245,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 NE-HUB inventory 0025
NEHUB-DEV-0026,NE-HUB,990000001000246,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 NE-HUB inventory 0026
NEHUB-DEV-0027,NE-HUB,990000001000247,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 NE-HUB inventory 0027
NEHUB-DEV-0028,NE-HUB,990000001000248,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 NE-HUB inventory 0028
NEHUB-DEV-0029,NE-HUB,990000001000249,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 NE-HUB inventory 0029
NEHUB-DEV-0030,NE-HUB,990000001000250,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 NE-HUB inventory 0030
NEHUB-DEV-0031,NE-HUB,990000001000251,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 NE-HUB inventory 0031
NEHUB-DEV-0032,NE-HUB,990000001000252,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 NE-HUB inventory 0032
NEHUB-DEV-0033,NE-HUB,990000001000253,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 NE-HUB inventory 0033
NEHUB-DEV-0034,NE-HUB,990000001000254,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 NE-HUB inventory 0034
NEHUB-DEV-0035,NE-HUB,990000001000255,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 NE-HUB inventory 0035
NEHUB-DEV-0036,NE-HUB,990000001000256,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 NE-HUB inventory 0036
NEHUB-DEV-0037,NE-HUB,990000001000257,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 NE-HUB inventory 0037
NEHUB-DEV-0038,NE-HUB,990000001000258,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 NE-HUB inventory 0038
NEHUB-DEV-0039,NE-HUB,990000001000259,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 NE-HUB inventory 0039
NEHUB-DEV-0040,NE-HUB,990000001000260,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 NE-HUB inventory 0040
NEHUB-DEV-0041,NE-HUB,990000001000261,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 NE-HUB inventory 0041
NEHUB-DEV-0042,NE-HUB,990000001000262,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 NE-HUB inventory 0042
NEHUB-DEV-0043,NE-HUB,990000001000263,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 NE-HUB inventory 0043
