deviceSerial,branchCode,imei,deviceCategory,deviceModel,provider,firmwareVersion,notes
SEDEPOT-DEV-0001,SE-DEPOT,990000001000441,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 SE-DEPOT inventory 0001
SEDEPOT-DEV-0002,SE-DEPOT,990000001000442,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 SE-DEPOT inventory 0002
SEDEPOT-DEV-0003,SE-DEPOT,990000001000443,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 SE-DEPOT inventory 0003
SEDEPOT-DEV-0004,SE-DEPOT,990000001000444,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 SE-DEPOT inventory 0004
SEDEPOT-DEV-0005,SE-DEPOT,990000001000445,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 SE-DEPOT inventory 0005
SEDEPOT-DEV-0006,SE-DEPOT,990000001000446,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 SE-DEPOT inventory 0006
SEDEPOT-DEV-0007,SE-DEPOT,990000001000447,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 SE-DEPOT inventory 0007
SEDEPOT-DEV-0008,SE-DEPOT,990000001000448,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 SE-DEPOT inventory 0008
SEDEPOT-DEV-0009,SE-DEPOT,990000001000449,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 SE-DEPOT inventory 0009
SEDEPOT-DEV-0010,SE-DEPOT,990000001000450,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 SE-DEPOT inventory 0010
SEDEPOT-DEV-0011,SE-DEPOT,990000001000451,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 SE-DEPOT inventory 0011
SEDEPOT-DEV-0012,SE-DEPOT,990000001000452,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 SE-DEPOT inventory 0012
SEDEPOT-DEV-0013,SE-DEPOT,990000001000453,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 SE-DEPOT inventory 0013
SEDEPOT-DEV-0014,SE-DEPOT,990000001000454,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 SE-DEPOT inventory 0014
SEDEPOT-DEV-0015,SE-DEPOT,990000001000455,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 SE-DEPOT inventory 0015
SEDEPOT-DEV-0016,SE-DEPOT,990000001000456,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 SE-DEPOT inventory 0016
SEDEPOT-DEV-0017,SE-DEPOT,990000001000457,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 SE-DEPOT inventory 0017
SEDEPOT-DEV-0018,SE-DEPOT,990000001000458,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 SE-DEPOT inventory 0018
SEDEPOT-DEV-0019,SE-DEPOT,990000001000459,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 SE-DEPOT inventory 0019
SEDEPOT-DEV-0020,SE-DEPOT,990000001000460,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 SE-DEPOT inventory 0020
SEDEPOT-DEV-0021,SE-DEPOT,990000001000461,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 SE-DEPOT inventory 0021
SEDEPOT-DEV-0022,SE-DEPOT,990000001000462,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 SE-DEPOT inventory 0022
SEDEPOT-DEV-0023,SE-DEPOT,990000001000463,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 SE-DEPOT inventory 0023
SEDEPOT-DEV-0024,SE-DEPOT,990000001000464,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 SE-DEPOT inventory 0024
SEDEPOT-DEV-0025,SE-DEPOT,990000001000465,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 SE-DEPOT inventory 0025
SEDEPOT-DEV-0026,SE-DEPOT,990000001000466,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 SE-DEPOT inventory 0026
SEDEPOT-DEV-0027,SE-DEPOT,990000001000467,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 SE-DEPOT inventory 0027
SEDEPOT-DEV-0028,SE-DEPOT,990000001000468,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 SE-DEPOT inventory 0028
SEDEPOT-DEV-0029,SE-DEPOT,990000001000469,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 SE-DEPOT inventory 0029
SEDEPOT-DEV-0030,SE-DEPOT,990000001000470,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 SE-DEPOT inventory 0030
