deviceSerial,branchCode,imei,deviceCategory,deviceModel,provider,firmwareVersion,notes
WESTHUB-DEV-0001,WEST-HUB,990000001000881,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 WEST-HUB inventory 0001
WESTHUB-DEV-0002,WEST-HUB,990000001000882,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 WEST-HUB inventory 0002
WESTHUB-DEV-0003,WEST-HUB,990000001000883,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 WEST-HUB inventory 0003
WESTHUB-DEV-0004,WEST-HUB,990000001000884,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 WEST-HUB inventory 0004
WESTHUB-DEV-0005,WEST-HUB,990000001000885,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 WEST-HUB inventory 0005
WESTHUB-DEV-0006,WEST-HUB,990000001000886,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 WEST-HUB inventory 0006
WESTHUB-DEV-0007,WEST-HUB,990000001000887,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 WEST-HUB inventory 0007
WESTHUB-DEV-0008,WEST-HUB,990000001000888,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 WEST-HUB inventory 0008
WESTHUB-DEV-0009,WEST-HUB,990000001000889,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 WEST-HUB inventory 0009
WESTHUB-DEV-0010,WEST-HUB,990000001000890,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 WEST-HUB inventory 0010
WESTHUB-DEV-0011,WEST-HUB,990000001000891,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 WEST-HUB inventory 0011
WESTHUB-DEV-0012,WEST-HUB,990000001000892,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 WEST-HUB inventory 0012
WESTHUB-DEV-0013,WEST-HUB,990000001000893,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 WEST-HUB inventory 0013
WESTHUB-DEV-0014,WEST-HUB,990000001000894,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 WEST-HUB inventory 0014
WESTHUB-DEV-0015,WEST-HUB,990000001000895,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 WEST-HUB inventory 0015
WESTHUB-DEV-0016,WEST-HUB,990000001000896,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 WEST-HUB inventory 0016
WESTHUB-DEV-0017,WEST-HUB,990000001000897,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 WEST-HUB inventory 0017
WESTHUB-DEV-0018,WEST-HUB,990000001000898,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 WEST-HUB inventory 0018
WESTHUB-DEV-0019,WEST-HUB,990000001000899,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 WEST-HUB inventory 0019
WESTHUB-DEV-0020,WEST-HUB,990000001000900,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 WEST-HUB inventory 0020
WESTHUB-DEV-0021,WEST-HUB,990000001000901,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 WEST-HUB inventory 0021
WESTHUB-DEV-0022,WEST-HUB,990000001000902,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 WEST-HUB inventory 0022
WESTHUB-DEV-0023,WEST-HUB,990000001000903,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 WEST-HUB inventory 0023
WESTHUB-DEV-0024,WEST-HUB,990000001000904,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 WEST-HUB inventory 0024
WESTHUB-DEV-0025,WEST-HUB,990000001000905,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 WEST-HUB inventory 0025
WESTHUB-DEV-0026,WEST-HUB,990000001000906,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 WEST-HUB inventory 0026
WESTHUB-DEV-0027,WEST-HUB,990000001000907,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 WEST-HUB inventory 0027
WESTHUB-DEV-0028,WEST-HUB,990000001000908,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 WEST-HUB inventory 0028
WESTHUB-DEV-0029,WEST-HUB,990000001000909,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 WEST-HUB inventory 0029
WESTHUB-DEV-0030,WEST-HUB,990000001000910,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 WEST-HUB inventory 0030
WESTHUB-DEV-0031,WEST-HUB,990000001000911,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 WEST-HUB inventory 0031
WESTHUB-DEV-0032,WEST-HUB,990000001000912,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 WEST-HUB inventory 0032
WESTHUB-DEV-0033,WEST-HUB,990000001000913,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 WEST-HUB inventory 0033
WESTHUB-DEV-0034,WEST-HUB,990000001000914,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 WEST-HUB inventory 0034
WESTHUB-DEV-0035,WEST-HUB,990000001000915,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 WEST-HUB inventory 0035
WESTHUB-DEV-0036,WEST-HUB,990000001000916,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 WEST-HUB inventory 0036
WESTHUB-DEV-0037,WEST-HUB,990000001000917,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 WEST-HUB inventory 0037
WESTHUB-DEV-0038,WEST-HUB,990000001000918,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.7,CERT-LARGE-20260825 WEST-HUB inventory 0038
WESTHUB-DEV-0039,WEST-HUB,990000001000919,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.8,CERT-LARGE-20260825 WEST-HUB inventory 0039
WESTHUB-DEV-0040,WEST-HUB,990000001000920,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.9,CERT-LARGE-20260825 WEST-HUB inventory 0040
WESTHUB-DEV-0041,WEST-HUB,990000001000921,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.0,CERT-LARGE-20260825 WEST-HUB inventory 0041
WESTHUB-DEV-0042,WEST-HUB,990000001000922,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.1,CERT-LARGE-20260825 WEST-HUB inventory 0042
WESTHUB-DEV-0043,WEST-HUB,990000001000923,GPS,Certification GPS-500,OpsTrax Certification Lab,1.2.2,CERT-LARGE-20260825 WEST-HUB inventory 0043
WESTHUB-DEV-0044,WEST-HUB,990000001000924,GPS,Certification GPS-500,OpsTrax Certification Lab,1.3.3,CERT-LARGE-20260825 WEST-HUB inventory 0044
WESTHUB-DEV-0045,WEST-HUB,990000001000925,GPS,Certification GPS-500,OpsTrax Certification Lab,1.4.4,CERT-LARGE-20260825 WEST-HUB inventory 0045
WESTHUB-DEV-0046,WEST-HUB,990000001000926,GPS,Certification GPS-500,OpsTrax Certification Lab,1.0.5,CERT-LARGE-20260825 WEST-HUB inventory 0046
WESTHUB-DEV-0047,WEST-HUB,990000001000927,GPS,Certification GPS-500,OpsTrax Certification Lab,1.1.6,CERT-LARGE-20260825 WEST-HUB inventory 0047
