vehicleCode,branchCode,type,make,model,year,vehicleClass,vin,vinExceptionType,alternateIdentifier,plateNumber,plateJurisdiction,status,odometerMiles,deviceStatus
CLHQ-V-0001,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0001,OH-0001,OH,Available,49919.00,Unknown
CLHQ-V-0002,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0002,OH-0002,OH,Available,57838.00,Unknown
CLHQ-V-0003,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0003,OH-0003,OH,Available,65757.00,Unknown
CLHQ-V-0004,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0004,OH-0004,OH,Available,73676.00,Unknown
CLHQ-V-0005,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0005,OH-0005,OH,Available,81595.00,Unknown
CLHQ-V-0006,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0006,OH-0006,OH,Available,89514.00,Unknown
CLHQ-V-0007,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0007,OH-0007,OH,Available,97433.00,Unknown
CLHQ-V-0008,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0008,OH-0008,OH,Available,105352.00,Unknown
CLHQ-V-0009,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0009,OH-0009,OH,Available,113271.00,Unknown
CLHQ-V-0010,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0010,OH-0010,OH,Available,121190.00,Unknown
CLHQ-V-0011,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0011,OH-0011,OH,Available,129109.00,Unknown
CLHQ-V-0012,CL-HQ,Truck,Ford,F-650,2018,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0012,OH-0012,OH,Available,137028.00,Unknown
CLHQ-V-0013,CL-HQ,Van,Ford,Transit,2019,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0013,OH-0013,OH,Available,144947.00,Unknown
CLHQ-V-0014,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0014,OH-0014,OH,Available,152866.00,Unknown
CLHQ-V-0015,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0015,OH-0015,OH,Available,160785.00,Unknown
CLHQ-V-0016,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0016,OH-0016,OH,Available,168704.00,Unknown
CLHQ-V-0017,CL-HQ,Truck,Ford,F-650,2023,Class 6,,legacy-fleet-identifier,CERT-CLHQ-VEH-0017,OH-0017,OH,Available,176623.00,Unknown
CLHQ-V-0018,CL-HQ,Van,Ford,Transit,2024,Class 2b,,legacy-fleet-identifier,CERT-CLHQ-VEH-0018,OH-0018,OH,Available,184542.00,Unknown
CLHQ-V-0019,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,,legacy-fleet-identifier,CERT-CLHQ-VEH-0019,OH-0019,OH,Available,192461.00,Unknown
CLHQ-V-0020,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0020,OH-0020,OH,Maintenance,200380.00,Unknown
CLHQ-V-0021,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,,legacy-fleet-identifier,CERT-CLHQ-VEH-0021,OH-0021,OH,Available,208299.00,Unknown
