vehicleCode,type,make,model,year,vin,plateNumber,status,odometerMiles,deviceStatus
CLHQ-V-0001,Tractor,Freightliner,Cascadia,2017,,OH-0001,Available,49919.00,Unknown
CLHQ-V-0002,Truck,Ford,F-650,2018,,OH-0002,Available,57838.00,Unknown
CLHQ-V-0003,Van,Ford,Transit,2019,,OH-0003,Available,65757.00,Unknown
CLHQ-V-0004,Truck,Isuzu,NPR-HD,2020,,OH-0004,Available,73676.00,Unknown
CLHQ-V-0005,Tractor,Volvo,VNL 760,2021,,OH-0005,Available,81595.00,Unknown
CLHQ-V-0006,Tractor,Freightliner,Cascadia,2022,,OH-0006,Available,89514.00,Unknown
CLHQ-V-0007,Truck,Ford,F-650,2023,,OH-0007,Available,97433.00,Unknown
CLHQ-V-0008,Van,Ford,Transit,2024,,OH-0008,Available,105352.00,Unknown
CLHQ-V-0009,Truck,Isuzu,NPR-HD,2025,,OH-0009,Available,113271.00,Unknown
CLHQ-V-0010,Tractor,Volvo,VNL 760,2026,,OH-0010,Available,121190.00,Unknown
CLHQ-V-0011,Tractor,Freightliner,Cascadia,2017,,OH-0011,Available,129109.00,Unknown
CLHQ-V-0012,Truck,Ford,F-650,2018,,OH-0012,Available,137028.00,Unknown
CLHQ-V-0013,Van,Ford,Transit,2019,,OH-0013,Available,144947.00,Unknown
CLHQ-V-0014,Truck,Isuzu,NPR-HD,2020,,OH-0014,Available,152866.00,Unknown
CLHQ-V-0015,Tractor,Volvo,VNL 760,2021,,OH-0015,Available,160785.00,Unknown
CLHQ-V-0016,Tractor,Freightliner,Cascadia,2022,,OH-0016,Available,168704.00,Unknown
CLHQ-V-0017,Truck,Ford,F-650,2023,,OH-0017,Available,176623.00,Unknown
CLHQ-V-0018,Van,Ford,Transit,2024,,OH-0018,Available,184542.00,Unknown
CLHQ-V-0019,Truck,Isuzu,NPR-HD,2025,,OH-0019,Available,192461.00,Unknown
CLHQ-V-0020,Tractor,Volvo,VNL 760,2026,,OH-0020,Maintenance,200380.00,Unknown
CLHQ-V-0021,Tractor,Freightliner,Cascadia,2017,,OH-0021,Available,208299.00,Unknown
CLHQ-V-0022,Truck,Ford,F-650,2018,,OH-0022,Available,216218.00,Unknown
CLHQ-V-0023,Van,Ford,Transit,2019,,OH-0023,Available,224137.00,Unknown
CLHQ-V-0024,Truck,Isuzu,NPR-HD,2020,,OH-0024,Available,232056.00,Unknown
CLHQ-V-0025,Tractor,Volvo,VNL 760,2021,,OH-0025,Available,239975.00,Unknown
CLHQ-V-0026,Tractor,Freightliner,Cascadia,2022,,OH-0026,Available,247894.00,Unknown
CLHQ-V-0027,Truck,Ford,F-650,2023,,OH-0027,Available,255813.00,Unknown
CLHQ-V-0028,Van,Ford,Transit,2024,,OH-0028,Available,263732.00,Unknown
CLHQ-V-0029,Truck,Isuzu,NPR-HD,2025,,OH-0029,Available,271651.00,Unknown
CLHQ-V-0030,Tractor,Volvo,VNL 760,2026,,OH-0030,Available,279570.00,Unknown
CLHQ-V-0031,Tractor,Freightliner,Cascadia,2017,,OH-0031,Available,287489.00,Unknown
CLHQ-V-0032,Truck,Ford,F-650,2018,,OH-0032,Available,295408.00,Unknown
CLHQ-V-0033,Van,Ford,Transit,2019,,OH-0033,Available,303327.00,Unknown
CLHQ-V-0034,Truck,Isuzu,NPR-HD,2020,,OH-0034,Available,311246.00,Unknown
CLHQ-V-0035,Tractor,Volvo,VNL 760,2021,,OH-0035,Available,319165.00,Unknown
CLHQ-V-0036,Tractor,Freightliner,Cascadia,2022,,OH-0036,Available,327084.00,Unknown
CLHQ-V-0037,Truck,Ford,F-650,2023,,OH-0037,Available,335003.00,Unknown
CLHQ-V-0038,Van,Ford,Transit,2024,,OH-0038,Available,342922.00,Unknown
CLHQ-V-0039,Truck,Isuzu,NPR-HD,2025,,OH-0039,Available,350841.00,Unknown
CLHQ-V-0040,Tractor,Volvo,VNL 760,2026,,OH-0040,Maintenance,358760.00,Unknown
CLHQ-V-0041,Tractor,Freightliner,Cascadia,2017,,OH-0041,Available,366679.00,Unknown
CLHQ-V-0042,Truck,Ford,F-650,2018,,OH-0042,Available,374598.00,Unknown
CLHQ-V-0043,Van,Ford,Transit,2019,,OH-0043,Available,382517.00,Unknown
CLHQ-V-0044,Truck,Isuzu,NPR-HD,2020,,OH-0044,Available,390436.00,Unknown
CLHQ-V-0045,Tractor,Volvo,VNL 760,2021,,OH-0045,Available,398355.00,Unknown
CLHQ-V-0046,Tractor,Freightliner,Cascadia,2022,,OH-0046,Available,406274.00,Unknown
CLHQ-V-0047,Truck,Ford,F-650,2023,,OH-0047,Available,414193.00,Unknown
CLHQ-V-0048,Van,Ford,Transit,2024,,OH-0048,Available,422112.00,Unknown
CLHQ-V-0049,Truck,Isuzu,NPR-HD,2025,,OH-0049,Available,430031.00,Unknown
CLHQ-V-0050,Tractor,Volvo,VNL 760,2026,,OH-0050,Available,437950.00,Unknown
CLHQ-V-0051,Tractor,Freightliner,Cascadia,2017,,OH-0051,Available,445869.00,Unknown
CLHQ-V-0052,Truck,Ford,F-650,2018,,OH-0052,Available,453788.00,Unknown
CLHQ-V-0053,Van,Ford,Transit,2019,,OH-0053,Available,461707.00,Unknown
CLHQ-V-0054,Truck,Isuzu,NPR-HD,2020,,OH-0054,Available,469626.00,Unknown
CLHQ-V-0055,Tractor,Volvo,VNL 760,2021,,OH-0055,Available,477545.00,Unknown
CLHQ-V-0056,Tractor,Freightliner,Cascadia,2022,,OH-0056,Available,485464.00,Unknown
CLHQ-V-0057,Truck,Ford,F-650,2023,,OH-0057,Available,493383.00,Unknown
CLHQ-V-0058,Van,Ford,Transit,2024,,OH-0058,Available,501302.00,Unknown
CLHQ-V-0059,Truck,Isuzu,NPR-HD,2025,,OH-0059,Available,509221.00,Unknown
CLHQ-V-0060,Tractor,Volvo,VNL 760,2026,,OH-0060,Maintenance,517140.00,Unknown
CLHQ-V-0061,Tractor,Freightliner,Cascadia,2017,,OH-0061,Available,525059.00,Unknown
CLHQ-V-0062,Truck,Ford,F-650,2018,,OH-0062,Available,532978.00,Unknown
CLHQ-V-0063,Van,Ford,Transit,2019,,OH-0063,Available,540897.00,Unknown
CLHQ-V-0064,Truck,Isuzu,NPR-HD,2020,,OH-0064,Available,548816.00,Unknown
CLHQ-V-0065,Tractor,Volvo,VNL 760,2021,,OH-0065,Available,556735.00,Unknown
CLHQ-V-0066,Tractor,Freightliner,Cascadia,2022,,OH-0066,Available,564654.00,Unknown
CLHQ-V-0067,Truck,Ford,F-650,2023,,OH-0067,Available,572573.00,Unknown
CLHQ-V-0068,Van,Ford,Transit,2024,,OH-0068,Available,580492.00,Unknown
CLHQ-V-0069,Truck,Isuzu,NPR-HD,2025,,OH-0069,Available,588411.00,Unknown
CLHQ-V-0070,Tractor,Volvo,VNL 760,2026,,OH-0070,Available,596330.00,Unknown
CLHQ-V-0071,Tractor,Freightliner,Cascadia,2017,,OH-0071,Available,604249.00,Unknown
CLHQ-V-0072,Truck,Ford,F-650,2018,,OH-0072,Available,612168.00,Unknown
CLHQ-V-0073,Van,Ford,Transit,2019,,OH-0073,Available,620087.00,Unknown
CLHQ-V-0074,Truck,Isuzu,NPR-HD,2020,,OH-0074,Available,628006.00,Unknown
CLHQ-V-0075,Tractor,Volvo,VNL 760,2021,,OH-0075,Available,635925.00,Unknown
CLHQ-V-0076,Tractor,Freightliner,Cascadia,2022,,OH-0076,Available,643844.00,Unknown
CLHQ-V-0077,Truck,Ford,F-650,2023,,OH-0077,Available,651763.00,Unknown
CLHQ-V-0078,Van,Ford,Transit,2024,,OH-0078,Available,49682.00,Unknown
CLHQ-V-0079,Truck,Isuzu,NPR-HD,2025,,OH-0079,Available,57601.00,Unknown
CLHQ-V-0080,Tractor,Volvo,VNL 760,2026,,OH-0080,Maintenance,65520.00,Unknown
CLHQ-V-0081,Tractor,Freightliner,Cascadia,2017,,OH-0081,Available,73439.00,Unknown
CLHQ-V-0082,Truck,Ford,F-650,2018,,OH-0082,Available,81358.00,Unknown
CLHQ-V-0083,Van,Ford,Transit,2019,,OH-0083,Available,89277.00,Unknown
CLHQ-V-0084,Truck,Isuzu,NPR-HD,2020,,OH-0084,Available,97196.00,Unknown
CLHQ-V-0085,Tractor,Volvo,VNL 760,2021,,OH-0085,Available,105115.00,Unknown
CLHQ-V-0086,Tractor,Freightliner,Cascadia,2022,,OH-0086,Available,113034.00,Unknown
CLHQ-V-0087,Truck,Ford,F-650,2023,,OH-0087,Available,120953.00,Unknown
CLHQ-V-0088,Van,Ford,Transit,2024,,OH-0088,Available,128872.00,Unknown
CLHQ-V-0089,Truck,Isuzu,NPR-HD,2025,,OH-0089,Available,136791.00,Unknown
CLHQ-V-0090,Tractor,Volvo,VNL 760,2026,,OH-0090,Available,144710.00,Unknown
CLHQ-V-0091,Tractor,Freightliner,Cascadia,2017,,OH-0091,Available,152629.00,Unknown
CLHQ-V-0092,Truck,Ford,F-650,2018,,OH-0092,Available,160548.00,Unknown
CLHQ-V-0093,Van,Ford,Transit,2019,,OH-0093,Available,168467.00,Unknown
CLHQ-V-0094,Truck,Isuzu,NPR-HD,2020,,OH-0094,Available,176386.00,Unknown
CLHQ-V-0095,Tractor,Volvo,VNL 760,2021,,OH-0095,Available,184305.00,Unknown
CLHQ-V-0096,Tractor,Freightliner,Cascadia,2022,,OH-0096,Available,192224.00,Unknown
CLHQ-V-0097,Truck,Ford,F-650,2023,,OH-0097,Available,200143.00,Unknown
CLHQ-V-0098,Van,Ford,Transit,2024,,OH-0098,Available,208062.00,Unknown
CLHQ-V-0099,Truck,Isuzu,NPR-HD,2025,,OH-0099,Available,215981.00,Unknown
CLHQ-V-0100,Tractor,Volvo,VNL 760,2026,,OH-0100,Maintenance,223900.00,Unknown
CLHQ-V-0101,Tractor,Freightliner,Cascadia,2017,,OH-0101,Available,231819.00,Unknown
CLHQ-V-0102,Truck,Ford,F-650,2018,,OH-0102,Available,239738.00,Unknown
CLHQ-V-0103,Van,Ford,Transit,2019,,OH-0103,Available,247657.00,Unknown
CLHQ-V-0104,Truck,Isuzu,NPR-HD,2020,,OH-0104,Available,255576.00,Unknown
CLHQ-V-0105,Tractor,Volvo,VNL 760,2021,,OH-0105,Available,263495.00,Unknown
