vehicleCode,branchCode,type,make,model,year,vehicleClass,odometerMiles,vin,vinExceptionType,alternateIdentifier,plateNumber,plateJurisdiction,status
CLHQ-V-0001,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,49919,,legacy-fleet-identifier,CERT-CLHQ-VEH-0001,OH-0001,OH,Available
CLHQ-V-0002,CL-HQ,Truck,Ford,F-650,2018,Class 6,57838,,legacy-fleet-identifier,CERT-CLHQ-VEH-0002,OH-0002,OH,Available
CLHQ-V-0003,CL-HQ,Van,Ford,Transit,2019,Class 2b,65757,,legacy-fleet-identifier,CERT-CLHQ-VEH-0003,OH-0003,OH,Available
CLHQ-V-0004,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,73676,,legacy-fleet-identifier,CERT-CLHQ-VEH-0004,OH-0004,OH,Available
CLHQ-V-0005,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,81595,,legacy-fleet-identifier,CERT-CLHQ-VEH-0005,OH-0005,OH,Available
CLHQ-V-0006,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,89514,,legacy-fleet-identifier,CERT-CLHQ-VEH-0006,OH-0006,OH,Available
CLHQ-V-0007,CL-HQ,Truck,Ford,F-650,2023,Class 6,97433,,legacy-fleet-identifier,CERT-CLHQ-VEH-0007,OH-0007,OH,Available
CLHQ-V-0008,CL-HQ,Van,Ford,Transit,2024,Class 2b,105352,,legacy-fleet-identifier,CERT-CLHQ-VEH-0008,OH-0008,OH,Available
CLHQ-V-0009,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,113271,,legacy-fleet-identifier,CERT-CLHQ-VEH-0009,OH-0009,OH,Available
CLHQ-V-0010,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,121190,,legacy-fleet-identifier,CERT-CLHQ-VEH-0010,OH-0010,OH,Available
CLHQ-V-0011,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,129109,,legacy-fleet-identifier,CERT-CLHQ-VEH-0011,OH-0011,OH,Available
CLHQ-V-0012,CL-HQ,Truck,Ford,F-650,2018,Class 6,137028,,legacy-fleet-identifier,CERT-CLHQ-VEH-0012,OH-0012,OH,Available
CLHQ-V-0013,CL-HQ,Van,Ford,Transit,2019,Class 2b,144947,,legacy-fleet-identifier,CERT-CLHQ-VEH-0013,OH-0013,OH,Available
CLHQ-V-0014,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,152866,,legacy-fleet-identifier,CERT-CLHQ-VEH-0014,OH-0014,OH,Available
CLHQ-V-0015,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,160785,,legacy-fleet-identifier,CERT-CLHQ-VEH-0015,OH-0015,OH,Available
CLHQ-V-0016,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,168704,,legacy-fleet-identifier,CERT-CLHQ-VEH-0016,OH-0016,OH,Available
CLHQ-V-0017,CL-HQ,Truck,Ford,F-650,2023,Class 6,176623,,legacy-fleet-identifier,CERT-CLHQ-VEH-0017,OH-0017,OH,Available
CLHQ-V-0018,CL-HQ,Van,Ford,Transit,2024,Class 2b,184542,,legacy-fleet-identifier,CERT-CLHQ-VEH-0018,OH-0018,OH,Available
CLHQ-V-0019,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,192461,,legacy-fleet-identifier,CERT-CLHQ-VEH-0019,OH-0019,OH,Available
CLHQ-V-0020,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,200380,,legacy-fleet-identifier,CERT-CLHQ-VEH-0020,OH-0020,OH,Maintenance
CLHQ-V-0021,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,208299,,legacy-fleet-identifier,CERT-CLHQ-VEH-0021,OH-0021,OH,Available
CLHQ-V-0022,CL-HQ,Truck,Ford,F-650,2018,Class 6,216218,,legacy-fleet-identifier,CERT-CLHQ-VEH-0022,OH-0022,OH,Available
CLHQ-V-0023,CL-HQ,Van,Ford,Transit,2019,Class 2b,224137,,legacy-fleet-identifier,CERT-CLHQ-VEH-0023,OH-0023,OH,Available
CLHQ-V-0024,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,232056,,legacy-fleet-identifier,CERT-CLHQ-VEH-0024,OH-0024,OH,Available
CLHQ-V-0025,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,239975,,legacy-fleet-identifier,CERT-CLHQ-VEH-0025,OH-0025,OH,Available
CLHQ-V-0026,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,247894,,legacy-fleet-identifier,CERT-CLHQ-VEH-0026,OH-0026,OH,Available
CLHQ-V-0027,CL-HQ,Truck,Ford,F-650,2023,Class 6,255813,,legacy-fleet-identifier,CERT-CLHQ-VEH-0027,OH-0027,OH,Available
CLHQ-V-0028,CL-HQ,Van,Ford,Transit,2024,Class 2b,263732,,legacy-fleet-identifier,CERT-CLHQ-VEH-0028,OH-0028,OH,Available
CLHQ-V-0029,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,271651,,legacy-fleet-identifier,CERT-CLHQ-VEH-0029,OH-0029,OH,Available
CLHQ-V-0030,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,279570,,legacy-fleet-identifier,CERT-CLHQ-VEH-0030,OH-0030,OH,Available
CLHQ-V-0031,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,287489,,legacy-fleet-identifier,CERT-CLHQ-VEH-0031,OH-0031,OH,Available
CLHQ-V-0032,CL-HQ,Truck,Ford,F-650,2018,Class 6,295408,,legacy-fleet-identifier,CERT-CLHQ-VEH-0032,OH-0032,OH,Available
CLHQ-V-0033,CL-HQ,Van,Ford,Transit,2019,Class 2b,303327,,legacy-fleet-identifier,CERT-CLHQ-VEH-0033,OH-0033,OH,Available
CLHQ-V-0034,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,311246,,legacy-fleet-identifier,CERT-CLHQ-VEH-0034,OH-0034,OH,Available
CLHQ-V-0035,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,319165,,legacy-fleet-identifier,CERT-CLHQ-VEH-0035,OH-0035,OH,Available
CLHQ-V-0036,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,327084,,legacy-fleet-identifier,CERT-CLHQ-VEH-0036,OH-0036,OH,Available
CLHQ-V-0037,CL-HQ,Truck,Ford,F-650,2023,Class 6,335003,,legacy-fleet-identifier,CERT-CLHQ-VEH-0037,OH-0037,OH,Available
CLHQ-V-0038,CL-HQ,Van,Ford,Transit,2024,Class 2b,342922,,legacy-fleet-identifier,CERT-CLHQ-VEH-0038,OH-0038,OH,Available
CLHQ-V-0039,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,350841,,legacy-fleet-identifier,CERT-CLHQ-VEH-0039,OH-0039,OH,Available
CLHQ-V-0040,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,358760,,legacy-fleet-identifier,CERT-CLHQ-VEH-0040,OH-0040,OH,Maintenance
CLHQ-V-0041,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,366679,,legacy-fleet-identifier,CERT-CLHQ-VEH-0041,OH-0041,OH,Available
CLHQ-V-0042,CL-HQ,Truck,Ford,F-650,2018,Class 6,374598,,legacy-fleet-identifier,CERT-CLHQ-VEH-0042,OH-0042,OH,Available
CLHQ-V-0043,CL-HQ,Van,Ford,Transit,2019,Class 2b,382517,,legacy-fleet-identifier,CERT-CLHQ-VEH-0043,OH-0043,OH,Available
CLHQ-V-0044,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,390436,,legacy-fleet-identifier,CERT-CLHQ-VEH-0044,OH-0044,OH,Available
CLHQ-V-0045,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,398355,,legacy-fleet-identifier,CERT-CLHQ-VEH-0045,OH-0045,OH,Available
CLHQ-V-0046,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,406274,,legacy-fleet-identifier,CERT-CLHQ-VEH-0046,OH-0046,OH,Available
CLHQ-V-0047,CL-HQ,Truck,Ford,F-650,2023,Class 6,414193,,legacy-fleet-identifier,CERT-CLHQ-VEH-0047,OH-0047,OH,Available
CLHQ-V-0048,CL-HQ,Van,Ford,Transit,2024,Class 2b,422112,,legacy-fleet-identifier,CERT-CLHQ-VEH-0048,OH-0048,OH,Available
CLHQ-V-0049,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,430031,,legacy-fleet-identifier,CERT-CLHQ-VEH-0049,OH-0049,OH,Available
CLHQ-V-0050,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,437950,,legacy-fleet-identifier,CERT-CLHQ-VEH-0050,OH-0050,OH,Available
CLHQ-V-0051,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,445869,,legacy-fleet-identifier,CERT-CLHQ-VEH-0051,OH-0051,OH,Available
CLHQ-V-0052,CL-HQ,Truck,Ford,F-650,2018,Class 6,453788,,legacy-fleet-identifier,CERT-CLHQ-VEH-0052,OH-0052,OH,Available
CLHQ-V-0053,CL-HQ,Van,Ford,Transit,2019,Class 2b,461707,,legacy-fleet-identifier,CERT-CLHQ-VEH-0053,OH-0053,OH,Available
CLHQ-V-0054,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,469626,,legacy-fleet-identifier,CERT-CLHQ-VEH-0054,OH-0054,OH,Available
CLHQ-V-0055,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,477545,,legacy-fleet-identifier,CERT-CLHQ-VEH-0055,OH-0055,OH,Available
CLHQ-V-0056,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,485464,,legacy-fleet-identifier,CERT-CLHQ-VEH-0056,OH-0056,OH,Available
CLHQ-V-0057,CL-HQ,Truck,Ford,F-650,2023,Class 6,493383,,legacy-fleet-identifier,CERT-CLHQ-VEH-0057,OH-0057,OH,Available
CLHQ-V-0058,CL-HQ,Van,Ford,Transit,2024,Class 2b,501302,,legacy-fleet-identifier,CERT-CLHQ-VEH-0058,OH-0058,OH,Available
CLHQ-V-0059,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,509221,,legacy-fleet-identifier,CERT-CLHQ-VEH-0059,OH-0059,OH,Available
CLHQ-V-0060,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,517140,,legacy-fleet-identifier,CERT-CLHQ-VEH-0060,OH-0060,OH,Maintenance
CLHQ-V-0061,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,525059,,legacy-fleet-identifier,CERT-CLHQ-VEH-0061,OH-0061,OH,Available
CLHQ-V-0062,CL-HQ,Truck,Ford,F-650,2018,Class 6,532978,,legacy-fleet-identifier,CERT-CLHQ-VEH-0062,OH-0062,OH,Available
CLHQ-V-0063,CL-HQ,Van,Ford,Transit,2019,Class 2b,540897,,legacy-fleet-identifier,CERT-CLHQ-VEH-0063,OH-0063,OH,Available
CLHQ-V-0064,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,548816,,legacy-fleet-identifier,CERT-CLHQ-VEH-0064,OH-0064,OH,Available
CLHQ-V-0065,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,556735,,legacy-fleet-identifier,CERT-CLHQ-VEH-0065,OH-0065,OH,Available
CLHQ-V-0066,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,564654,,legacy-fleet-identifier,CERT-CLHQ-VEH-0066,OH-0066,OH,Available
CLHQ-V-0067,CL-HQ,Truck,Ford,F-650,2023,Class 6,572573,,legacy-fleet-identifier,CERT-CLHQ-VEH-0067,OH-0067,OH,Available
CLHQ-V-0068,CL-HQ,Van,Ford,Transit,2024,Class 2b,580492,,legacy-fleet-identifier,CERT-CLHQ-VEH-0068,OH-0068,OH,Available
CLHQ-V-0069,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,588411,,legacy-fleet-identifier,CERT-CLHQ-VEH-0069,OH-0069,OH,Available
CLHQ-V-0070,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,596330,,legacy-fleet-identifier,CERT-CLHQ-VEH-0070,OH-0070,OH,Available
CLHQ-V-0071,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,604249,,legacy-fleet-identifier,CERT-CLHQ-VEH-0071,OH-0071,OH,Available
CLHQ-V-0072,CL-HQ,Truck,Ford,F-650,2018,Class 6,612168,,legacy-fleet-identifier,CERT-CLHQ-VEH-0072,OH-0072,OH,Available
CLHQ-V-0073,CL-HQ,Van,Ford,Transit,2019,Class 2b,620087,,legacy-fleet-identifier,CERT-CLHQ-VEH-0073,OH-0073,OH,Available
CLHQ-V-0074,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,628006,,legacy-fleet-identifier,CERT-CLHQ-VEH-0074,OH-0074,OH,Available
CLHQ-V-0075,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,635925,,legacy-fleet-identifier,CERT-CLHQ-VEH-0075,OH-0075,OH,Available
CLHQ-V-0076,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,643844,,legacy-fleet-identifier,CERT-CLHQ-VEH-0076,OH-0076,OH,Available
CLHQ-V-0077,CL-HQ,Truck,Ford,F-650,2023,Class 6,651763,,legacy-fleet-identifier,CERT-CLHQ-VEH-0077,OH-0077,OH,Available
CLHQ-V-0078,CL-HQ,Van,Ford,Transit,2024,Class 2b,49682,,legacy-fleet-identifier,CERT-CLHQ-VEH-0078,OH-0078,OH,Available
CLHQ-V-0079,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,57601,,legacy-fleet-identifier,CERT-CLHQ-VEH-0079,OH-0079,OH,Available
CLHQ-V-0080,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,65520,,legacy-fleet-identifier,CERT-CLHQ-VEH-0080,OH-0080,OH,Maintenance
CLHQ-V-0081,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,73439,,legacy-fleet-identifier,CERT-CLHQ-VEH-0081,OH-0081,OH,Available
CLHQ-V-0082,CL-HQ,Truck,Ford,F-650,2018,Class 6,81358,,legacy-fleet-identifier,CERT-CLHQ-VEH-0082,OH-0082,OH,Available
CLHQ-V-0083,CL-HQ,Van,Ford,Transit,2019,Class 2b,89277,,legacy-fleet-identifier,CERT-CLHQ-VEH-0083,OH-0083,OH,Available
CLHQ-V-0084,CL-HQ,Truck,Isuzu,NPR-HD,2020,Class 5,97196,,legacy-fleet-identifier,CERT-CLHQ-VEH-0084,OH-0084,OH,Available
CLHQ-V-0085,CL-HQ,Tractor,Volvo,VNL 760,2021,Class 8,105115,,legacy-fleet-identifier,CERT-CLHQ-VEH-0085,OH-0085,OH,Available
CLHQ-V-0086,CL-HQ,Tractor,Freightliner,Cascadia,2022,Class 8,113034,,legacy-fleet-identifier,CERT-CLHQ-VEH-0086,OH-0086,OH,Available
CLHQ-V-0087,CL-HQ,Truck,Ford,F-650,2023,Class 6,120953,,legacy-fleet-identifier,CERT-CLHQ-VEH-0087,OH-0087,OH,Available
CLHQ-V-0088,CL-HQ,Van,Ford,Transit,2024,Class 2b,128872,,legacy-fleet-identifier,CERT-CLHQ-VEH-0088,OH-0088,OH,Available
CLHQ-V-0089,CL-HQ,Truck,Isuzu,NPR-HD,2025,Class 5,136791,,legacy-fleet-identifier,CERT-CLHQ-VEH-0089,OH-0089,OH,Available
CLHQ-V-0090,CL-HQ,Tractor,Volvo,VNL 760,2026,Class 8,144710,,legacy-fleet-identifier,CERT-CLHQ-VEH-0090,OH-0090,OH,Available
CLHQ-V-0091,CL-HQ,Tractor,Freightliner,Cascadia,2017,Class 8,152629,,legacy-fleet-identifier,CERT-CLHQ-VEH-0091,OH-0091,OH,Available
CLHQ-V-0092,CL-HQ,Truck,Ford,F-650,2018,Class 6,160548,,legacy-fleet-identifier,CERT-CLHQ-VEH-0092,OH-0092,OH,Available
CLHQ-V-0093,CL-HQ,Van,Ford,Transit,2019,Class 2b,168467,,legacy-fleet-identifier,CERT-CLHQ-VEH-0093,OH-0093,OH,Available
