vehicleCode,branchCode,type,make,model,year,vehicleClass,odometerMiles,vin,vinExceptionType,alternateIdentifier,plateNumber,plateJurisdiction,status
MWYARD-V-0001,MW-YARD,Tractor,Freightliner,Cascadia,2017,Class 8,49919,,legacy-fleet-identifier,CERT-MWYARD-VEH-0001,IL-0001,IL,Available
MWYARD-V-0002,MW-YARD,Truck,Ford,F-650,2018,Class 6,57838,,legacy-fleet-identifier,CERT-MWYARD-VEH-0002,IL-0002,IL,Available
MWYARD-V-0003,MW-YARD,Van,Ford,Transit,2019,Class 2b,65757,,legacy-fleet-identifier,CERT-MWYARD-VEH-0003,IL-0003,IL,Available
MWYARD-V-0004,MW-YARD,Truck,Isuzu,NPR-HD,2020,Class 5,73676,,legacy-fleet-identifier,CERT-MWYARD-VEH-0004,IL-0004,IL,Available
MWYARD-V-0005,MW-YARD,Tractor,Volvo,VNL 760,2021,Class 8,81595,,legacy-fleet-identifier,CERT-MWYARD-VEH-0005,IL-0005,IL,Available
MWYARD-V-0006,MW-YARD,Tractor,Freightliner,Cascadia,2022,Class 8,89514,,legacy-fleet-identifier,CERT-MWYARD-VEH-0006,IL-0006,IL,Available
MWYARD-V-0007,MW-YARD,Truck,Ford,F-650,2023,Class 6,97433,,legacy-fleet-identifier,CERT-MWYARD-VEH-0007,IL-0007,IL,Available
MWYARD-V-0008,MW-YARD,Van,Ford,Transit,2024,Class 2b,105352,,legacy-fleet-identifier,CERT-MWYARD-VEH-0008,IL-0008,IL,Available
MWYARD-V-0009,MW-YARD,Truck,Isuzu,NPR-HD,2025,Class 5,113271,,legacy-fleet-identifier,CERT-MWYARD-VEH-0009,IL-0009,IL,Available
MWYARD-V-0010,MW-YARD,Tractor,Volvo,VNL 760,2026,Class 8,121190,,legacy-fleet-identifier,CERT-MWYARD-VEH-0010,IL-0010,IL,Available
MWYARD-V-0011,MW-YARD,Tractor,Freightliner,Cascadia,2017,Class 8,129109,,legacy-fleet-identifier,CERT-MWYARD-VEH-0011,IL-0011,IL,Available
MWYARD-V-0012,MW-YARD,Truck,Ford,F-650,2018,Class 6,137028,,legacy-fleet-identifier,CERT-MWYARD-VEH-0012,IL-0012,IL,Available
MWYARD-V-0013,MW-YARD,Van,Ford,Transit,2019,Class 2b,144947,,legacy-fleet-identifier,CERT-MWYARD-VEH-0013,IL-0013,IL,Available
MWYARD-V-0014,MW-YARD,Truck,Isuzu,NPR-HD,2020,Class 5,152866,,legacy-fleet-identifier,CERT-MWYARD-VEH-0014,IL-0014,IL,Available
MWYARD-V-0015,MW-YARD,Tractor,Volvo,VNL 760,2021,Class 8,160785,,legacy-fleet-identifier,CERT-MWYARD-VEH-0015,IL-0015,IL,Available
MWYARD-V-0016,MW-YARD,Tractor,Freightliner,Cascadia,2022,Class 8,168704,,legacy-fleet-identifier,CERT-MWYARD-VEH-0016,IL-0016,IL,Available
MWYARD-V-0017,MW-YARD,Truck,Ford,F-650,2023,Class 6,176623,,legacy-fleet-identifier,CERT-MWYARD-VEH-0017,IL-0017,IL,Available
MWYARD-V-0018,MW-YARD,Van,Ford,Transit,2024,Class 2b,184542,,legacy-fleet-identifier,CERT-MWYARD-VEH-0018,IL-0018,IL,Available
MWYARD-V-0019,MW-YARD,Truck,Isuzu,NPR-HD,2025,Class 5,192461,,legacy-fleet-identifier,CERT-MWYARD-VEH-0019,IL-0019,IL,Available
