vehicleCode,branchCode,type,make,model,year,vehicleClass,odometerMiles,vin,vinExceptionType,alternateIdentifier,plateNumber,plateJurisdiction,status
NEHUB-V-0001,NE-HUB,Tractor,Freightliner,Cascadia,2017,Class 8,49919,,legacy-fleet-identifier,CERT-NEHUB-VEH-0001,NJ-0001,NJ,Available
NEHUB-V-0002,NE-HUB,Truck,Ford,F-650,2018,Class 6,57838,,legacy-fleet-identifier,CERT-NEHUB-VEH-0002,NJ-0002,NJ,Available
NEHUB-V-0003,NE-HUB,Van,Ford,Transit,2019,Class 2b,65757,,legacy-fleet-identifier,CERT-NEHUB-VEH-0003,NJ-0003,NJ,Available
NEHUB-V-0004,NE-HUB,Truck,Isuzu,NPR-HD,2020,Class 5,73676,,legacy-fleet-identifier,CERT-NEHUB-VEH-0004,NJ-0004,NJ,Available
NEHUB-V-0005,NE-HUB,Tractor,Volvo,VNL 760,2021,Class 8,81595,,legacy-fleet-identifier,CERT-NEHUB-VEH-0005,NJ-0005,NJ,Available
NEHUB-V-0006,NE-HUB,Tractor,Freightliner,Cascadia,2022,Class 8,89514,,legacy-fleet-identifier,CERT-NEHUB-VEH-0006,NJ-0006,NJ,Available
NEHUB-V-0007,NE-HUB,Truck,Ford,F-650,2023,Class 6,97433,,legacy-fleet-identifier,CERT-NEHUB-VEH-0007,NJ-0007,NJ,Available
NEHUB-V-0008,NE-HUB,Van,Ford,Transit,2024,Class 2b,105352,,legacy-fleet-identifier,CERT-NEHUB-VEH-0008,NJ-0008,NJ,Available
NEHUB-V-0009,NE-HUB,Truck,Isuzu,NPR-HD,2025,Class 5,113271,,legacy-fleet-identifier,CERT-NEHUB-VEH-0009,NJ-0009,NJ,Available
NEHUB-V-0010,NE-HUB,Tractor,Volvo,VNL 760,2026,Class 8,121190,,legacy-fleet-identifier,CERT-NEHUB-VEH-0010,NJ-0010,NJ,Available
NEHUB-V-0011,NE-HUB,Tractor,Freightliner,Cascadia,2017,Class 8,129109,,legacy-fleet-identifier,CERT-NEHUB-VEH-0011,NJ-0011,NJ,Available
NEHUB-V-0012,NE-HUB,Truck,Ford,F-650,2018,Class 6,137028,,legacy-fleet-identifier,CERT-NEHUB-VEH-0012,NJ-0012,NJ,Available
NEHUB-V-0013,NE-HUB,Van,Ford,Transit,2019,Class 2b,144947,,legacy-fleet-identifier,CERT-NEHUB-VEH-0013,NJ-0013,NJ,Available
NEHUB-V-0014,NE-HUB,Truck,Isuzu,NPR-HD,2020,Class 5,152866,,legacy-fleet-identifier,CERT-NEHUB-VEH-0014,NJ-0014,NJ,Available
NEHUB-V-0015,NE-HUB,Tractor,Volvo,VNL 760,2021,Class 8,160785,,legacy-fleet-identifier,CERT-NEHUB-VEH-0015,NJ-0015,NJ,Available
NEHUB-V-0016,NE-HUB,Tractor,Freightliner,Cascadia,2022,Class 8,168704,,legacy-fleet-identifier,CERT-NEHUB-VEH-0016,NJ-0016,NJ,Available
NEHUB-V-0017,NE-HUB,Truck,Ford,F-650,2023,Class 6,176623,,legacy-fleet-identifier,CERT-NEHUB-VEH-0017,NJ-0017,NJ,Available
NEHUB-V-0018,NE-HUB,Van,Ford,Transit,2024,Class 2b,184542,,legacy-fleet-identifier,CERT-NEHUB-VEH-0018,NJ-0018,NJ,Available
NEHUB-V-0019,NE-HUB,Truck,Isuzu,NPR-HD,2025,Class 5,192461,,legacy-fleet-identifier,CERT-NEHUB-VEH-0019,NJ-0019,NJ,Available
NEHUB-V-0020,NE-HUB,Tractor,Volvo,VNL 760,2026,Class 8,200380,,legacy-fleet-identifier,CERT-NEHUB-VEH-0020,NJ-0020,NJ,Maintenance
NEHUB-V-0021,NE-HUB,Tractor,Freightliner,Cascadia,2017,Class 8,208299,,legacy-fleet-identifier,CERT-NEHUB-VEH-0021,NJ-0021,NJ,Available
NEHUB-V-0022,NE-HUB,Truck,Ford,F-650,2018,Class 6,216218,,legacy-fleet-identifier,CERT-NEHUB-VEH-0022,NJ-0022,NJ,Available
NEHUB-V-0023,NE-HUB,Van,Ford,Transit,2019,Class 2b,224137,,legacy-fleet-identifier,CERT-NEHUB-VEH-0023,NJ-0023,NJ,Available
NEHUB-V-0024,NE-HUB,Truck,Isuzu,NPR-HD,2020,Class 5,232056,,legacy-fleet-identifier,CERT-NEHUB-VEH-0024,NJ-0024,NJ,Available
NEHUB-V-0025,NE-HUB,Tractor,Volvo,VNL 760,2021,Class 8,239975,,legacy-fleet-identifier,CERT-NEHUB-VEH-0025,NJ-0025,NJ,Available
NEHUB-V-0026,NE-HUB,Tractor,Freightliner,Cascadia,2022,Class 8,247894,,legacy-fleet-identifier,CERT-NEHUB-VEH-0026,NJ-0026,NJ,Available
NEHUB-V-0027,NE-HUB,Truck,Ford,F-650,2023,Class 6,255813,,legacy-fleet-identifier,CERT-NEHUB-VEH-0027,NJ-0027,NJ,Available
NEHUB-V-0028,NE-HUB,Van,Ford,Transit,2024,Class 2b,263732,,legacy-fleet-identifier,CERT-NEHUB-VEH-0028,NJ-0028,NJ,Available
NEHUB-V-0029,NE-HUB,Truck,Isuzu,NPR-HD,2025,Class 5,271651,,legacy-fleet-identifier,CERT-NEHUB-VEH-0029,NJ-0029,NJ,Available
NEHUB-V-0030,NE-HUB,Tractor,Volvo,VNL 760,2026,Class 8,279570,,legacy-fleet-identifier,CERT-NEHUB-VEH-0030,NJ-0030,NJ,Available
NEHUB-V-0031,NE-HUB,Tractor,Freightliner,Cascadia,2017,Class 8,287489,,legacy-fleet-identifier,CERT-NEHUB-VEH-0031,NJ-0031,NJ,Available
NEHUB-V-0032,NE-HUB,Truck,Ford,F-650,2018,Class 6,295408,,legacy-fleet-identifier,CERT-NEHUB-VEH-0032,NJ-0032,NJ,Available
NEHUB-V-0033,NE-HUB,Van,Ford,Transit,2019,Class 2b,303327,,legacy-fleet-identifier,CERT-NEHUB-VEH-0033,NJ-0033,NJ,Available
NEHUB-V-0034,NE-HUB,Truck,Isuzu,NPR-HD,2020,Class 5,311246,,legacy-fleet-identifier,CERT-NEHUB-VEH-0034,NJ-0034,NJ,Available
NEHUB-V-0035,NE-HUB,Tractor,Volvo,VNL 760,2021,Class 8,319165,,legacy-fleet-identifier,CERT-NEHUB-VEH-0035,NJ-0035,NJ,Available
NEHUB-V-0036,NE-HUB,Tractor,Freightliner,Cascadia,2022,Class 8,327084,,legacy-fleet-identifier,CERT-NEHUB-VEH-0036,NJ-0036,NJ,Available
NEHUB-V-0037,NE-HUB,Truck,Ford,F-650,2023,Class 6,335003,,legacy-fleet-identifier,CERT-NEHUB-VEH-0037,NJ-0037,NJ,Available
NEHUB-V-0038,NE-HUB,Van,Ford,Transit,2024,Class 2b,342922,,legacy-fleet-identifier,CERT-NEHUB-VEH-0038,NJ-0038,NJ,Available
NEHUB-V-0039,NE-HUB,Truck,Isuzu,NPR-HD,2025,Class 5,350841,,legacy-fleet-identifier,CERT-NEHUB-VEH-0039,NJ-0039,NJ,Available
NEHUB-V-0040,NE-HUB,Tractor,Volvo,VNL 760,2026,Class 8,358760,,legacy-fleet-identifier,CERT-NEHUB-VEH-0040,NJ-0040,NJ,Maintenance
NEHUB-V-0041,NE-HUB,Tractor,Freightliner,Cascadia,2017,Class 8,366679,,legacy-fleet-identifier,CERT-NEHUB-VEH-0041,NJ-0041,NJ,Available
NEHUB-V-0042,NE-HUB,Truck,Ford,F-650,2018,Class 6,374598,,legacy-fleet-identifier,CERT-NEHUB-VEH-0042,NJ-0042,NJ,Available
NEHUB-V-0043,NE-HUB,Van,Ford,Transit,2019,Class 2b,382517,,legacy-fleet-identifier,CERT-NEHUB-VEH-0043,NJ-0043,NJ,Available
NEHUB-V-0044,NE-HUB,Truck,Isuzu,NPR-HD,2020,Class 5,390436,,legacy-fleet-identifier,CERT-NEHUB-VEH-0044,NJ-0044,NJ,Available
