vehicleCode,branchCode,type,make,model,year,vehicleClass,odometerMiles,vin,vinExceptionType,alternateIdentifier,plateNumber,plateJurisdiction,status
SEDEPOT-V-0001,SE-DEPOT,Tractor,Freightliner,Cascadia,2017,Class 8,49919,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0001,GA-0001,GA,Available
SEDEPOT-V-0002,SE-DEPOT,Truck,Ford,F-650,2018,Class 6,57838,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0002,GA-0002,GA,Available
SEDEPOT-V-0003,SE-DEPOT,Van,Ford,Transit,2019,Class 2b,65757,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0003,GA-0003,GA,Available
SEDEPOT-V-0004,SE-DEPOT,Truck,Isuzu,NPR-HD,2020,Class 5,73676,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0004,GA-0004,GA,Available
SEDEPOT-V-0005,SE-DEPOT,Tractor,Volvo,VNL 760,2021,Class 8,81595,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0005,GA-0005,GA,Available
SEDEPOT-V-0006,SE-DEPOT,Tractor,Freightliner,Cascadia,2022,Class 8,89514,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0006,GA-0006,GA,Available
SEDEPOT-V-0007,SE-DEPOT,Truck,Ford,F-650,2023,Class 6,97433,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0007,GA-0007,GA,Available
SEDEPOT-V-0008,SE-DEPOT,Van,Ford,Transit,2024,Class 2b,105352,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0008,GA-0008,GA,Available
SEDEPOT-V-0009,SE-DEPOT,Truck,Isuzu,NPR-HD,2025,Class 5,113271,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0009,GA-0009,GA,Available
SEDEPOT-V-0010,SE-DEPOT,Tractor,Volvo,VNL 760,2026,Class 8,121190,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0010,GA-0010,GA,Available
SEDEPOT-V-0011,SE-DEPOT,Tractor,Freightliner,Cascadia,2017,Class 8,129109,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0011,GA-0011,GA,Available
SEDEPOT-V-0012,SE-DEPOT,Truck,Ford,F-650,2018,Class 6,137028,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0012,GA-0012,GA,Available
SEDEPOT-V-0013,SE-DEPOT,Van,Ford,Transit,2019,Class 2b,144947,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0013,GA-0013,GA,Available
SEDEPOT-V-0014,SE-DEPOT,Truck,Isuzu,NPR-HD,2020,Class 5,152866,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0014,GA-0014,GA,Available
SEDEPOT-V-0015,SE-DEPOT,Tractor,Volvo,VNL 760,2021,Class 8,160785,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0015,GA-0015,GA,Available
SEDEPOT-V-0016,SE-DEPOT,Tractor,Freightliner,Cascadia,2022,Class 8,168704,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0016,GA-0016,GA,Available
SEDEPOT-V-0017,SE-DEPOT,Truck,Ford,F-650,2023,Class 6,176623,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0017,GA-0017,GA,Available
SEDEPOT-V-0018,SE-DEPOT,Van,Ford,Transit,2024,Class 2b,184542,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0018,GA-0018,GA,Available
SEDEPOT-V-0019,SE-DEPOT,Truck,Isuzu,NPR-HD,2025,Class 5,192461,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0019,GA-0019,GA,Available
SEDEPOT-V-0020,SE-DEPOT,Tractor,Volvo,VNL 760,2026,Class 8,200380,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0020,GA-0020,GA,Maintenance
SEDEPOT-V-0021,SE-DEPOT,Tractor,Freightliner,Cascadia,2017,Class 8,208299,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0021,GA-0021,GA,Available
SEDEPOT-V-0022,SE-DEPOT,Truck,Ford,F-650,2018,Class 6,216218,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0022,GA-0022,GA,Available
SEDEPOT-V-0023,SE-DEPOT,Van,Ford,Transit,2019,Class 2b,224137,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0023,GA-0023,GA,Available
SEDEPOT-V-0024,SE-DEPOT,Truck,Isuzu,NPR-HD,2020,Class 5,232056,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0024,GA-0024,GA,Available
SEDEPOT-V-0025,SE-DEPOT,Tractor,Volvo,VNL 760,2021,Class 8,239975,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0025,GA-0025,GA,Available
SEDEPOT-V-0026,SE-DEPOT,Tractor,Freightliner,Cascadia,2022,Class 8,247894,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0026,GA-0026,GA,Available
SEDEPOT-V-0027,SE-DEPOT,Truck,Ford,F-650,2023,Class 6,255813,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0027,GA-0027,GA,Available
SEDEPOT-V-0028,SE-DEPOT,Van,Ford,Transit,2024,Class 2b,263732,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0028,GA-0028,GA,Available
SEDEPOT-V-0029,SE-DEPOT,Truck,Isuzu,NPR-HD,2025,Class 5,271651,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0029,GA-0029,GA,Available
SEDEPOT-V-0030,SE-DEPOT,Tractor,Volvo,VNL 760,2026,Class 8,279570,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0030,GA-0030,GA,Available
SEDEPOT-V-0031,SE-DEPOT,Tractor,Freightliner,Cascadia,2017,Class 8,287489,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0031,GA-0031,GA,Available
SEDEPOT-V-0032,SE-DEPOT,Truck,Ford,F-650,2018,Class 6,295408,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0032,GA-0032,GA,Available
SEDEPOT-V-0033,SE-DEPOT,Van,Ford,Transit,2019,Class 2b,303327,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0033,GA-0033,GA,Available
SEDEPOT-V-0034,SE-DEPOT,Truck,Isuzu,NPR-HD,2020,Class 5,311246,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0034,GA-0034,GA,Available
SEDEPOT-V-0035,SE-DEPOT,Tractor,Volvo,VNL 760,2021,Class 8,319165,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0035,GA-0035,GA,Available
SEDEPOT-V-0036,SE-DEPOT,Tractor,Freightliner,Cascadia,2022,Class 8,327084,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0036,GA-0036,GA,Available
SEDEPOT-V-0037,SE-DEPOT,Truck,Ford,F-650,2023,Class 6,335003,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0037,GA-0037,GA,Available
SEDEPOT-V-0038,SE-DEPOT,Van,Ford,Transit,2024,Class 2b,342922,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0038,GA-0038,GA,Available
SEDEPOT-V-0039,SE-DEPOT,Truck,Isuzu,NPR-HD,2025,Class 5,350841,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0039,GA-0039,GA,Available
SEDEPOT-V-0040,SE-DEPOT,Tractor,Volvo,VNL 760,2026,Class 8,358760,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0040,GA-0040,GA,Maintenance
SEDEPOT-V-0041,SE-DEPOT,Tractor,Freightliner,Cascadia,2017,Class 8,366679,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0041,GA-0041,GA,Available
SEDEPOT-V-0042,SE-DEPOT,Truck,Ford,F-650,2018,Class 6,374598,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0042,GA-0042,GA,Available
SEDEPOT-V-0043,SE-DEPOT,Van,Ford,Transit,2019,Class 2b,382517,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0043,GA-0043,GA,Available
SEDEPOT-V-0044,SE-DEPOT,Truck,Isuzu,NPR-HD,2020,Class 5,390436,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0044,GA-0044,GA,Available
SEDEPOT-V-0045,SE-DEPOT,Tractor,Volvo,VNL 760,2021,Class 8,398355,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0045,GA-0045,GA,Available
SEDEPOT-V-0046,SE-DEPOT,Tractor,Freightliner,Cascadia,2022,Class 8,406274,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0046,GA-0046,GA,Available
SEDEPOT-V-0047,SE-DEPOT,Truck,Ford,F-650,2023,Class 6,414193,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0047,GA-0047,GA,Available
SEDEPOT-V-0048,SE-DEPOT,Van,Ford,Transit,2024,Class 2b,422112,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0048,GA-0048,GA,Available
SEDEPOT-V-0049,SE-DEPOT,Truck,Isuzu,NPR-HD,2025,Class 5,430031,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0049,GA-0049,GA,Available
SEDEPOT-V-0050,SE-DEPOT,Tractor,Volvo,VNL 760,2026,Class 8,437950,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0050,GA-0050,GA,Available
SEDEPOT-V-0051,SE-DEPOT,Tractor,Freightliner,Cascadia,2017,Class 8,445869,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0051,GA-0051,GA,Available
SEDEPOT-V-0052,SE-DEPOT,Truck,Ford,F-650,2018,Class 6,453788,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0052,GA-0052,GA,Available
SEDEPOT-V-0053,SE-DEPOT,Van,Ford,Transit,2019,Class 2b,461707,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0053,GA-0053,GA,Available
SEDEPOT-V-0054,SE-DEPOT,Truck,Isuzu,NPR-HD,2020,Class 5,469626,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0054,GA-0054,GA,Available
SEDEPOT-V-0055,SE-DEPOT,Tractor,Volvo,VNL 760,2021,Class 8,477545,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0055,GA-0055,GA,Available
SEDEPOT-V-0056,SE-DEPOT,Tractor,Freightliner,Cascadia,2022,Class 8,485464,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0056,GA-0056,GA,Available
SEDEPOT-V-0057,SE-DEPOT,Truck,Ford,F-650,2023,Class 6,493383,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0057,GA-0057,GA,Available
SEDEPOT-V-0058,SE-DEPOT,Van,Ford,Transit,2024,Class 2b,501302,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0058,GA-0058,GA,Available
SEDEPOT-V-0059,SE-DEPOT,Truck,Isuzu,NPR-HD,2025,Class 5,509221,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0059,GA-0059,GA,Available
SEDEPOT-V-0060,SE-DEPOT,Tractor,Volvo,VNL 760,2026,Class 8,517140,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0060,GA-0060,GA,Maintenance
SEDEPOT-V-0061,SE-DEPOT,Tractor,Freightliner,Cascadia,2017,Class 8,525059,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0061,GA-0061,GA,Available
SEDEPOT-V-0062,SE-DEPOT,Truck,Ford,F-650,2018,Class 6,532978,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0062,GA-0062,GA,Available
SEDEPOT-V-0063,SE-DEPOT,Van,Ford,Transit,2019,Class 2b,540897,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0063,GA-0063,GA,Available
SEDEPOT-V-0064,SE-DEPOT,Truck,Isuzu,NPR-HD,2020,Class 5,548816,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0064,GA-0064,GA,Available
SEDEPOT-V-0065,SE-DEPOT,Tractor,Volvo,VNL 760,2021,Class 8,556735,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0065,GA-0065,GA,Available
SEDEPOT-V-0066,SE-DEPOT,Tractor,Freightliner,Cascadia,2022,Class 8,564654,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0066,GA-0066,GA,Available
SEDEPOT-V-0067,SE-DEPOT,Truck,Ford,F-650,2023,Class 6,572573,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0067,GA-0067,GA,Available
SEDEPOT-V-0068,SE-DEPOT,Van,Ford,Transit,2024,Class 2b,580492,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0068,GA-0068,GA,Available
SEDEPOT-V-0069,SE-DEPOT,Truck,Isuzu,NPR-HD,2025,Class 5,588411,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0069,GA-0069,GA,Available
SEDEPOT-V-0070,SE-DEPOT,Tractor,Volvo,VNL 760,2026,Class 8,596330,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0070,GA-0070,GA,Available
SEDEPOT-V-0071,SE-DEPOT,Tractor,Freightliner,Cascadia,2017,Class 8,604249,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0071,GA-0071,GA,Available
SEDEPOT-V-0072,SE-DEPOT,Truck,Ford,F-650,2018,Class 6,612168,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0072,GA-0072,GA,Available
SEDEPOT-V-0073,SE-DEPOT,Van,Ford,Transit,2019,Class 2b,620087,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0073,GA-0073,GA,Available
SEDEPOT-V-0074,SE-DEPOT,Truck,Isuzu,NPR-HD,2020,Class 5,628006,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0074,GA-0074,GA,Available
SEDEPOT-V-0075,SE-DEPOT,Tractor,Volvo,VNL 760,2021,Class 8,635925,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0075,GA-0075,GA,Available
SEDEPOT-V-0076,SE-DEPOT,Tractor,Freightliner,Cascadia,2022,Class 8,643844,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0076,GA-0076,GA,Available
SEDEPOT-V-0077,SE-DEPOT,Truck,Ford,F-650,2023,Class 6,651763,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0077,GA-0077,GA,Available
SEDEPOT-V-0078,SE-DEPOT,Van,Ford,Transit,2024,Class 2b,49682,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0078,GA-0078,GA,Available
SEDEPOT-V-0079,SE-DEPOT,Truck,Isuzu,NPR-HD,2025,Class 5,57601,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0079,GA-0079,GA,Available
SEDEPOT-V-0080,SE-DEPOT,Tractor,Volvo,VNL 760,2026,Class 8,65520,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0080,GA-0080,GA,Maintenance
SEDEPOT-V-0081,SE-DEPOT,Tractor,Freightliner,Cascadia,2017,Class 8,73439,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0081,GA-0081,GA,Available
SEDEPOT-V-0082,SE-DEPOT,Truck,Ford,F-650,2018,Class 6,81358,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0082,GA-0082,GA,Available
SEDEPOT-V-0083,SE-DEPOT,Van,Ford,Transit,2019,Class 2b,89277,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0083,GA-0083,GA,Available
SEDEPOT-V-0084,SE-DEPOT,Truck,Isuzu,NPR-HD,2020,Class 5,97196,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0084,GA-0084,GA,Available
SEDEPOT-V-0085,SE-DEPOT,Tractor,Volvo,VNL 760,2021,Class 8,105115,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0085,GA-0085,GA,Available
SEDEPOT-V-0086,SE-DEPOT,Tractor,Freightliner,Cascadia,2022,Class 8,113034,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0086,GA-0086,GA,Available
SEDEPOT-V-0087,SE-DEPOT,Truck,Ford,F-650,2023,Class 6,120953,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0087,GA-0087,GA,Available
SEDEPOT-V-0088,SE-DEPOT,Van,Ford,Transit,2024,Class 2b,128872,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0088,GA-0088,GA,Available
SEDEPOT-V-0089,SE-DEPOT,Truck,Isuzu,NPR-HD,2025,Class 5,136791,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0089,GA-0089,GA,Available
SEDEPOT-V-0090,SE-DEPOT,Tractor,Volvo,VNL 760,2026,Class 8,144710,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0090,GA-0090,GA,Available
SEDEPOT-V-0091,SE-DEPOT,Tractor,Freightliner,Cascadia,2017,Class 8,152629,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0091,GA-0091,GA,Available
SEDEPOT-V-0092,SE-DEPOT,Truck,Ford,F-650,2018,Class 6,160548,,legacy-fleet-identifier,CERT-SEDEPOT-VEH-0092,GA-0092,GA,Available
