vehicleCode,branchCode,type,make,model,year,vehicleClass,odometerMiles,vin,vinExceptionType,alternateIdentifier,plateNumber,plateJurisdiction,status
WESTHUB-V-0001,WEST-HUB,Tractor,Freightliner,Cascadia,2017,Class 8,49919,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0001,AZ-0001,AZ,Available
WESTHUB-V-0002,WEST-HUB,Truck,Ford,F-650,2018,Class 6,57838,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0002,AZ-0002,AZ,Available
WESTHUB-V-0003,WEST-HUB,Van,Ford,Transit,2019,Class 2b,65757,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0003,AZ-0003,AZ,Available
WESTHUB-V-0004,WEST-HUB,Truck,Isuzu,NPR-HD,2020,Class 5,73676,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0004,AZ-0004,AZ,Available
WESTHUB-V-0005,WEST-HUB,Tractor,Volvo,VNL 760,2021,Class 8,81595,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0005,AZ-0005,AZ,Available
WESTHUB-V-0006,WEST-HUB,Tractor,Freightliner,Cascadia,2022,Class 8,89514,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0006,AZ-0006,AZ,Available
WESTHUB-V-0007,WEST-HUB,Truck,Ford,F-650,2023,Class 6,97433,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0007,AZ-0007,AZ,Available
WESTHUB-V-0008,WEST-HUB,Van,Ford,Transit,2024,Class 2b,105352,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0008,AZ-0008,AZ,Available
WESTHUB-V-0009,WEST-HUB,Truck,Isuzu,NPR-HD,2025,Class 5,113271,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0009,AZ-0009,AZ,Available
WESTHUB-V-0010,WEST-HUB,Tractor,Volvo,VNL 760,2026,Class 8,121190,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0010,AZ-0010,AZ,Available
WESTHUB-V-0011,WEST-HUB,Tractor,Freightliner,Cascadia,2017,Class 8,129109,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0011,AZ-0011,AZ,Available
WESTHUB-V-0012,WEST-HUB,Truck,Ford,F-650,2018,Class 6,137028,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0012,AZ-0012,AZ,Available
WESTHUB-V-0013,WEST-HUB,Van,Ford,Transit,2019,Class 2b,144947,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0013,AZ-0013,AZ,Available
WESTHUB-V-0014,WEST-HUB,Truck,Isuzu,NPR-HD,2020,Class 5,152866,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0014,AZ-0014,AZ,Available
WESTHUB-V-0015,WEST-HUB,Tractor,Volvo,VNL 760,2021,Class 8,160785,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0015,AZ-0015,AZ,Available
WESTHUB-V-0016,WEST-HUB,Tractor,Freightliner,Cascadia,2022,Class 8,168704,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0016,AZ-0016,AZ,Available
WESTHUB-V-0017,WEST-HUB,Truck,Ford,F-650,2023,Class 6,176623,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0017,AZ-0017,AZ,Available
WESTHUB-V-0018,WEST-HUB,Van,Ford,Transit,2024,Class 2b,184542,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0018,AZ-0018,AZ,Available
WESTHUB-V-0019,WEST-HUB,Truck,Isuzu,NPR-HD,2025,Class 5,192461,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0019,AZ-0019,AZ,Available
WESTHUB-V-0020,WEST-HUB,Tractor,Volvo,VNL 760,2026,Class 8,200380,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0020,AZ-0020,AZ,Maintenance
WESTHUB-V-0021,WEST-HUB,Tractor,Freightliner,Cascadia,2017,Class 8,208299,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0021,AZ-0021,AZ,Available
WESTHUB-V-0022,WEST-HUB,Truck,Ford,F-650,2018,Class 6,216218,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0022,AZ-0022,AZ,Available
WESTHUB-V-0023,WEST-HUB,Van,Ford,Transit,2019,Class 2b,224137,,legacy-fleet-identifier,CERT-WESTHUB-VEH-0023,AZ-0023,AZ,Available
